Matrix;Retrosplenial area (L);Retrosplenial area (R);Visual areas (L);Visual areas (R);Posterior parietal association areas (L);Posterior parietal association areas (R);Auditory areas (L);Auditory areas (R);Temporal association areas (L);Temporal association areas (R);Entorhinal area (L);Entorhinal area (R);Olfactory areas (L);Olfactory areas (R);Dentate gyrus (L);Dentate gyrus (R);Subiculum (L);Subiculum (R);Dorsal hippocampus (L);Dorsal hippocampus (R);Ventral hippocampus (L);Ventral hippocampus (R);Substantia nigra, reticular part (L);Substantia nigra, reticular part (R);Substantia nigra, compact part (L);Substantia nigra, compact part (R)
Retrosplenial area (L);1;0.474214209764622;0.640983581778352;0.754477389710286;0.332748026090771;0.076526498544313;0.385069930019559;0.208305069691648;0.155172981286765;0.197059317210185;0.149134476788416;0.308188964406157;0.262450151306171;-0.060854684747484;0.41495782344908;0.400911743367075;0.301990260862612;0.283067419723332;0.531732478521777;0.587622395365159;0.481318564465038;0.415572276400921;-0.132472252497007;0.0614965073630782;0.260368415298051;0.167661353784326
Retrosplenial area (R);0.474214209764622;1;0.317094544806812;0.310378358370048;0.514908756802574;0.0655798340128505;0.370939088881696;0.493917181726294;0.203999915423501;0.175330117131875;0.142209679831642;0.368050072241209;0.159939864640141;0.141100569319056;0.389264397728503;0.426827927543899;0.298940439572958;0.376286993423957;0.436631713173358;0.522932036785113;0.371611904333033;0.407024036141132;0.279140527442695;0.266865546047417;0.173785103336184;0.131734356105437
Visual areas (L);0.640983581778352;0.317094544806812;1;0.644357699534007;0.21860586212916;0.0553564412344116;0.410177503711918;0.181820755221803;0.180924652464709;0.0958667165124025;0.273707224155704;0.285875669839427;0.142996791543128;-0.114036803149193;0.371475469293977;0.332947628199007;0.267121682628125;0.235522905120437;0.484026733581457;0.444657078658451;0.444442672341424;0.389114776451736;-0.231974091440054;0.0586266922658018;0.333498785116047;0.20768660526495
Visual areas (R);0.754477389710286;0.310378358370048;0.644357699534007;1;0.222832110248155;0.0611576714303418;0.280523568618885;0.12518369849603;0.106874941033376;0.170575292471027;0.138220994445443;0.183950619492885;0.202797943235659;0.00778246285772639;0.266677483369803;0.285142322003589;0.183946683440547;0.166393801239882;0.42140038770973;0.469388746273514;0.374672835190745;0.32982120052121;-0.138859209008202;0.100215266047366;0.259833857845774;0.0828837736854548
Posterior parietal association areas (L);0.332748026090771;0.514908756802574;0.21860586212916;0.222832110248155;1;0.0393652116656803;0.204094237547565;0.302817230271712;0.0716164920202136;0.0434127599751226;0.0679324029368222;0.257274901229828;-0.0472166974558017;-0.0251105511280952;0.130113718287959;0.186871276757081;0.0116099792270886;0.137459364634517;0.155515721609603;0.267228683047429;0.290582054111118;0.250179869395335;0.135309634735832;0.072477425243877;0.183262115222606;0.0811008446193903
Posterior parietal association areas (R);0.076526498544313;0.0655798340128505;0.0553564412344116;0.0611576714303418;0.0393652116656803;1;0.0699118751853838;-0.022664435231556;0.0996061638097347;-0.0416833638852032;-0.0296709353732095;-0.0491859404283166;0.0644314243940555;0.00119909815358441;0.0980634769825868;0.0845815238485881;-0.0140998890131896;0.106126295243759;0.10689173234906;0.150418824799538;0.0948272720076827;-0.0407974355123849;-0.0549153027868168;-0.0564233085397737;-0.0254858738466793;0.0773230217671685
Auditory areas (L);0.385069930019559;0.370939088881696;0.410177503711918;0.280523568618885;0.204094237547565;0.0699118751853838;1;0.293747583591584;0.302423280792425;-0.0195666627642625;0.31651191712652;0.361476405368175;0.285192860102245;0.0939324736746429;0.446127693784738;0.497106435316146;0.394379281259945;0.349642856555715;0.532858452418247;0.483754163697178;0.491760047825358;0.460809661112627;-0.0365028822457949;0.119208991211717;0.158476010234574;0.204494936415361
Auditory areas (R);0.208305069691648;0.493917181726294;0.181820755221803;0.12518369849603;0.302817230271712;-0.022664435231556;0.293747583591584;1;0.218801609712071;0.259721161285991;0.171837174819646;0.261952270436103;0.159679546265387;0.113573465595338;0.306592613806392;0.262880989278981;0.177606615233494;0.335439800680862;0.366960721352602;0.328213561412914;0.399559007458021;0.384522908330438;0.139141229856972;0.329077670423118;0.166812860639658;0.0753155915315788
Temporal association areas (L);0.155172981286765;0.203999915423501;0.180924652464709;0.106874941033376;0.0716164920202136;0.0996061638097347;0.302423280792425;0.218801609712071;1;0.145858480329411;0.303733631740742;0.33676233331904;0.32025384887441;0.146867016775172;0.392812810866265;0.374351728934986;0.397335393080121;0.282319547692199;0.379500107027609;0.406501621259657;0.487320744218998;0.46771091745236;-0.0465331099228773;0.139933025947225;0.0370880879701404;-1.32897224163885e-05
Temporal association areas (R);0.197059317210185;0.175330117131875;0.0958667165124025;0.170575292471027;0.0434127599751226;-0.0416833638852032;-0.0195666627642625;0.259721161285991;0.145858480329411;1;0.096150569314067;0.13726167245742;0.0553476037174947;0.141303021584257;0.207094347481468;0.111277730862409;0.126889784609115;0.231112699128697;0.17759310652647;0.249592588602051;0.1677751482204;0.274058282396875;0.0275714740179017;0.170450266368321;0.000936356745356534;-0.167800829544096
