Matrix;Retrosplenial area (L);Retrosplenial area (R);Visual areas (L);Visual areas (R);Posterior parietal association areas (L);Posterior parietal association areas (R);Auditory areas (L);Auditory areas (R);Temporal association areas (L);Temporal association areas (R);Entorhinal area (L);Entorhinal area (R);Olfactory areas (L);Olfactory areas (R);Dentate gyrus (L);Dentate gyrus (R);Subiculum (L);Subiculum (R);Dorsal hippocampus (L);Dorsal hippocampus (R);Ventral hippocampus (L);Ventral hippocampus (R);Substantia nigra, reticular part (L);Substantia nigra, reticular part (R);Substantia nigra, compact part (L);Substantia nigra, compact part (R)
Retrosplenial area (L);1;0.786537879008736;0.576705669194656;0.625736463795165;;;0.499738691681849;0.770274520837358;0.420073890017418;0.541456907490641;0.189560261959938;0.441155213251532;0.0235590838129795;0.72583009340754;0.876438147475446;0.861689483674703;0.721555702773279;0.729822146168311;0.846870188682183;0.863252618492784;0.749545899068152;0.805275352968553;-0.00317799117820412;0.60856840197609;0.0517326294288968;-0.0889485730193312
Retrosplenial area (R);0.786537879008736;1;0.568296454722766;0.589865817673501;;;0.467802104257611;0.763916833299689;0.304038321702261;0.569624331939955;0.177822121366518;0.319543177376488;0.0489391657241969;0.715146713441263;0.828508457280497;0.771377981747765;0.605080788677407;0.621885337132666;0.751865287710682;0.817060030355453;0.785378193672463;0.731046963459228;0.0873216608015399;0.656319699288361;-0.00792099712023589;-0.199201566150801
Visual areas (L);0.576705669194656;0.568296454722766;1;0.413089200592524;;;0.372734556215381;0.556903188767007;0.50403923457142;0.424218354586144;0.276857941266556;0.340467862664962;0.0192112483510938;0.551918447932714;0.53755159385635;0.60695476028078;0.465017422994948;0.489824308570332;0.623643753038867;0.604158296267864;0.481136691734679;0.55880947205167;-0.0499440743318878;0.484910682062996;-0.00946459790308297;-0.202358303945301
Visual areas (R);0.625736463795165;0.589865817673501;0.413089200592524;1;;;0.355980989508659;0.604953018654104;0.368530014392274;0.419327845817017;0.0911763816481317;0.325398047058133;0.00482288664565386;0.656691766199067;0.650585679252233;0.691248074781312;0.595326079582928;0.538532062312054;0.625836107982883;0.705692072652443;0.572990093426473;0.601388386091058;0.0264343859476376;0.508288054556573;0.0990410784072425;-0.139796853960001
Posterior parietal association areas (L);;;;;;;;;;;;;;;;;;;;;;;;;;
Posterior parietal association areas (R);;;;;;;;;;;;;;;;;;;;;;;;;;
Auditory areas (L);0.499738691681849;0.467802104257611;0.372734556215381;0.355980989508659;;;1;0.490518818614056;0.4744294150545;0.428733435681953;0.239399739939967;0.320338606808992;0.0929686909178632;0.362281039162007;0.474912319991057;0.46759555194839;0.327285709784381;0.326370468410063;0.538368862052858;0.481942095635258;0.500349000582018;0.460079415874185;0.0385634252434717;0.264021389536021;-0.0180548993658725;-0.235384323345436
Auditory areas (R);0.770274520837358;0.763916833299689;0.556903188767007;0.604953018654104;;;0.490518818614056;1;0.359401347359467;0.537332383475953;0.137958559766484;0.284119898107916;0.0526167314845731;0.704381644995784;0.759258633129142;0.745653111819739;0.539487585490368;0.560204429742372;0.718077072180466;0.768405317136814;0.724688449503374;0.714550630561621;0.0834157992245615;0.621274670311791;0.116505122472365;-0.197417123726861
Temporal association areas (L);0.420073890017418;0.304038321702261;0.50403923457142;0.368530014392274;;;0.4744294150545;0.359401347359467;1;0.435760000113596;0.1412676304063;0.468584627548719;0.00623197750239774;0.357697817402252;0.30074425369737;0.384784650449982;0.296588519250219;0.262134745927802;0.444101900505653;0.356364399877174;0.339875657911069;0.401632754710743;-0.0251989733021439;0.140661097610334;-0.0987591920056888;-0.270799437361216
Temporal association areas (R);0.541456907490641;0.569624331939955;0.424218354586144;0.419327845817017;;;0.428733435681953;0.537332383475953;0.435760000113596;1;0.0715246372186684;0.350752444017016;-0.0556300761847642;0.550331539779575;0.557451889287735;0.523513048380189;0.42580079778365;0.436638110842218;0.55272442495771;0.549268911651204;0.547887391793214;0.534789158061712;0.102402365665549;0.559561803961267;0.014595520804116;-0.300654808931032
Entorhinal area (L);0.189560261959938;0.177822121366518;0.276857941266556;0.0911763816481317;;;0.239399739939967;0.137958559766484;0.1412676304063;0.0715246372186684;1;0.464873731441963;0.28161625995609;0.226222704821881;0.174509954890886;0.224830062702727;0.168499058376406;0.176457966365125;0.225306559745003;0.258139792419103;0.217651870819822;0.179390792513281;0.00102542438715494;0.109783655247414;0.117229340593835;-0.0256761791731795
Entorhinal area (R);0.441155213251532;0.319543177376488;0.340467862664962;0.325398047058133;;;0.320338606808992;0.284119898107916;0.468584627548719;0.350752444017016;0.464873731441963;1;0.192664024048445;0.343369211892098;0.305705879064386;0.393047027165732;0.310130026881263;0.275987405377541;0.389027891697667;0.407100968888873;0.401106399165671;0.453767798371838;0.16566875642896;0.196483365086275;0.0815367965346279;-0.195669984768335
Olfactory areas (L);0.0235590838129795;0.0489391657241969;0.0192112483510938;0.00482288664565386;;;0.0929686909178632;0.0526167314845731;0.00623197750239774;-0.0556300761847642;0.28161625995609;0.192664024048445;1;0.103426036624563;0.0112112305774434;-0.0355778993852602;-0.0556894295241671;-0.109637344274911;-0.0225334944710261;-0.00306179499097904;0.0516866992881377;0.0197215811730741;0.240758785228684;0.0180269382961404;0.173598561039832;0.143760788704859
