Matrix;Retrosplenial area (L);Retrosplenial area (R);Visual areas (L);Visual areas (R);Posterior parietal association areas (L);Posterior parietal association areas (R);Auditory areas (L);Auditory areas (R);Temporal association areas (L);Temporal association areas (R);Entorhinal area (L);Entorhinal area (R);Olfactory areas (L);Olfactory areas (R);Dentate gyrus (L);Dentate gyrus (R);Subiculum (L);Subiculum (R);Dorsal hippocampus (L);Dorsal hippocampus (R);Ventral hippocampus (L);Ventral hippocampus (R);Substantia nigra, reticular part (L);Substantia nigra, reticular part (R);Substantia nigra, compact part (L);Substantia nigra, compact part (R)
Retrosplenial area (L);1;0.854255116103038;0.86201139007603;0.734311234225527;;;0.538558780768579;0.351007528421559;0.153466535219193;0.353669505529913;0.162959970596746;0.0457661353368352;0.383729125132376;0.276463326328941;0.409996787940687;0.342462282959356;0.588168912229395;0.544773103988828;0.647959121527212;0.676737462589509;0.572899821649117;0.119183678554187;0.0711121978868258;0.033522839325231;0.00317493837812396;-0.04609307361662
Retrosplenial area (R);0.854255116103038;1;0.865421830350649;0.743087479079316;;;0.48525127164919;0.355257678854841;0.192319851422583;0.247470798161441;0.172525505461229;0.0655246960927883;0.448501546978636;0.244459940511736;0.332995818585291;0.220992795781066;0.551089602044238;0.528753691655388;0.580238437771788;0.604292381256193;0.5328262983659;0.0428073222827814;0.0444966756931049;-0.068495810684553;-0.0939606136522183;-0.085595021033307
Visual areas (L);0.86201139007603;0.865421830350649;1;0.679808064760921;;;0.50569023763763;0.388998904204597;0.106747259918757;0.308007104497049;0.149747404946408;0.0527094102214309;0.434843151749121;0.208335180596058;0.365744890664546;0.258939247264551;0.500733460146049;0.472365995809038;0.57132232665189;0.599619399324449;0.525999774320541;0.0533284022696156;0.042897503656207;-0.00647148593506466;-0.0208271957719299;-0.0409240130458815
Visual areas (R);0.734311234225527;0.743087479079316;0.679808064760921;1;;;0.303239331845682;0.189437402650807;0.204771966728042;0.274600321476382;-0.0159060748848721;-0.0855307101867865;0.290703196198128;0.0724979459839247;0.19192419325362;0.0862208423004737;0.359096303674624;0.476052552887956;0.429589038736303;0.398351037968246;0.331680874504532;-0.109394732581101;0.0177969865713965;-0.13948665909427;-0.126295812014571;-0.0253112818115022
Posterior parietal association areas (L);;;;;;;;;;;;;;;;;;;;;;;;;;
Posterior parietal association areas (R);;;;;;;;;;;;;;;;;;;;;;;;;;
Auditory areas (L);0.538558780768579;0.48525127164919;0.50569023763763;0.303239331845682;;;1;0.387166329099505;0.167978315411892;0.285262949102872;0.413202534607436;0.0757138034181567;0.405657463488815;0.347295495619073;0.52624324917277;0.55044471589275;0.508186431853368;0.444170027580752;0.626861945030571;0.675919202557861;0.626817370266169;0.455337604414449;0.222620975400074;0.42190884892621;0.260452395081387;0.164166731213844
Auditory areas (R);0.351007528421559;0.355257678854841;0.388998904204597;0.189437402650807;;;0.387166329099505;1;-0.032471492320914;0.185619200125637;0.315148224021629;0.107820307842859;0.336993284306539;0.341135744431852;0.431617443024848;0.442965051454101;0.284771686400789;0.351320575531122;0.535336557413529;0.49421159034681;0.502021321489128;0.435088432416164;0.133626190705267;0.300499669797519;0.277375830222808;0.170722359237757
Temporal association areas (L);0.153466535219193;0.192319851422583;0.106747259918757;0.204771966728042;;;0.167978315411892;-0.032471492320914;1;0.185640877755573;0.279496353258613;0.0402973046240785;0.248477033854125;0.0257398207109739;0.200592455846484;0.197425710606064;0.268266637190264;0.177579714367434;0.203239523418233;0.238508659614082;0.345263316314094;0.164198851421131;0.111990724934406;0.15976424913705;0.11723932037635;0.159020678575946
Temporal association areas (R);0.353669505529913;0.247470798161441;0.308007104497049;0.274600321476382;;;0.285262949102872;0.185619200125637;0.185640877755573;1;0.10898329133987;-0.0130449694368201;0.122729327536579;0.269209979685932;0.277703477517371;0.199526635651437;0.186220385656481;0.236663802097546;0.285629512252615;0.298046351334294;0.30065720694859;0.0988871401762824;0.170530319316921;0.0720263935830787;0.0419416672764761;0.0589959633669869
