Matrix;Retrosplenial area (L);Retrosplenial area (R);Visual areas (L);Visual areas (R);Posterior parietal association areas (L);Posterior parietal association areas (R);Auditory areas (L);Auditory areas (R);Temporal association areas (L);Temporal association areas (R);Entorhinal area (L);Entorhinal area (R);Olfactory areas (L);Olfactory areas (R);Dentate gyrus (L);Dentate gyrus (R);Subiculum (L);Subiculum (R);Dorsal hippocampus (L);Dorsal hippocampus (R);Ventral hippocampus (L);Ventral hippocampus (R);Substantia nigra, reticular part (L);Substantia nigra, reticular part (R);Substantia nigra, compact part (L);Substantia nigra, compact part (R)
Retrosplenial area (L);1;0.897620567769003;0.621994830436427;0.526388474882818;;;0.385332762104837;0.583721113243953;0.434057232961806;0.187118180866072;0.352294214491176;-0.0222218997577252;0.447778057859227;0.485401692654719;0.687699677668621;0.730812424570161;0.548665866794299;0.62128303684467;0.484882349331142;0.65643231112926;0.200302793951077;0.34237652960781;0.643138169795259;0.581239864199817;-0.00322833278001409;0.29344801426223
Retrosplenial area (R);0.897620567769003;1;0.462203478372282;0.508271053101806;;;0.357639518149885;0.611371240460713;0.373889015181789;0.266537641516617;0.3434728221413;0.128719525652989;0.516117753577978;0.45913924261871;0.677411086164369;0.700271431232715;0.602845927276648;0.63319221812049;0.621292231620952;0.754591528354074;0.361120609644453;0.483237576425045;0.609993787444105;0.512323371691533;0.0803181271033166;0.273289477986315
Visual areas (L);0.621994830436427;0.462203478372282;1;0.50481751111087;;;0.344559246256202;0.403637550196825;0.422766618781321;0.0567830144827577;0.0814870971071869;-0.213497004699398;0.0422762999927348;0.227201868342603;0.375794185680409;0.45855856252974;0.208988081256827;0.305919183813278;0.0232878356696161;0.310258893210357;-0.344186058949177;0.0203108098952818;0.407727414623021;0.288335671209314;0.0862584885439212;0.229954232930163
Visual areas (R);0.526388474882818;0.508271053101806;0.50481751111087;1;;;0.0539424981483598;0.630075063921256;-0.00308457868633322;0.0893968534727687;0.0266207189778093;0.271210639158477;-0.0242041388380626;-0.0945529187936277;0.192483009580435;0.226514205235552;0.172432641472168;0.192342917071048;0.379771353405113;0.658086113521574;0.0891582194122993;0.208774670594892;0.160074500280676;0.060691004367027;0.0653941350053703;0.371018623640302
Posterior parietal association areas (L);;;;;;;;;;;;;;;;;;;;;;;;;;
Posterior parietal association areas (R);;;;;;;;;;;;;;;;;;;;;;;;;;
Auditory areas (L);0.385332762104837;0.357639518149885;0.344559246256202;0.0539424981483598;;;1;0.361318878718968;0.905758146357493;0.567558545938749;0.51055800011629;0.187644288340208;0.57233307166051;0.780518287831835;0.778004202282815;0.786744302886872;0.748455959238246;0.77839553904438;0.486086173220725;0.197846746015759;0.242317981619655;0.396883455225542;0.756654131937076;0.734356547302742;0.245862956997538;0.122336578854317
Auditory areas (R);0.583721113243953;0.611371240460713;0.403637550196825;0.630075063921256;;;0.361318878718968;1;0.263980480549512;0.432063825684352;0.304873523291438;0.445316615589271;0.401076799954684;0.256554011485966;0.489634905889626;0.485581282131379;0.513019649927025;0.504718276503662;0.67121278212356;0.785485149828619;0.49697944912633;0.547435980518723;0.470746887595295;0.416541545979333;0.209631875350357;0.432712481579414
Temporal association areas (L);0.434057232961806;0.373889015181789;0.422766618781321;-0.00308457868633322;;;0.905758146357493;0.263980480549512;1;0.547223691392049;0.458370557830234;0.00608598943189731;0.529113838967498;0.774021701641263;0.73715689316747;0.775103602557487;0.664345092188667;0.730715127747342;0.371150318059981;0.120571200941301;0.12952169621493;0.280170858979801;0.728471561291902;0.682690524072515;0.183566157186418;-0.00205994251948098
Temporal association areas (R);0.187118180866072;0.266537641516617;0.0567830144827577;0.0893968534727687;;;0.567558545938749;0.432063825684352;0.547223691392049;1;0.313986681603427;0.600142282055927;0.503323407845108;0.431434288360613;0.514519456642072;0.483272948834901;0.609343521571137;0.514255733812839;0.659716539692144;0.409988447681757;0.552398196657544;0.634233976751856;0.384045859132625;0.470060004119127;0.158725093114469;0.108973960416178
Entorhinal area (L);0.352294214491176;0.3434728221413;0.0814870971071869;0.0266207189778093;;;0.51055800011629;0.304873523291438;0.458370557830234;0.313986681603427;1;0.205336288800272;0.561503075369017;0.583423341694514;0.62028694832605;0.61693122732005;0.571963780897386;0.629850447868907;0.468891964816221;0.259736307126816;0.413093733654526;0.401507435965371;0.649610268827998;0.619924700728686;0.054106619666543;0.0663633369049423
Entorhinal area (R);-0.0222218997577252;0.128719525652989;-0.213497004699398;0.271210639158477;;;0.187644288340208;0.445316615589271;0.00608598943189731;0.600142282055927;0.205336288800272;1;0.329988566592934;0.0408900858647017;0.189518549720563;0.129622024944088;0.366639657061782;0.227942589471491;0.616666744911474;0.496890340754111;0.687010645747121;0.595289479869994;0.054602193331536;0.156520433748053;0.133112517362792;0.194821362674
Olfactory areas (L);0.447778057859227;0.516117753577978;0.0422762999927348;-0.0242041388380626;;;0.57233307166051;0.401076799954684;0.529113838967498;0.503323407845108;0.561503075369017;0.329988566592934;1;0.685598755299623;0.728748675032658;0.718390705179288;0.79101379620105;0.713716136254108;0.637651550700581;0.393343787903932;0.62396368587835;0.653159418158645;0.682707035730633;0.717205297603888;0.218635718421596;0.0637542000992757
Olfactory areas (R);0.485401692654719;0.45913924261871;0.227201868342603;-0.0945529187936277;;;0.780518287831835;0.256554011485966;0.774021701641263;0.431434288360613;0.583423341694514;0.0408900858647017;0.685598755299623;0.999999999999999;0.838476374925107;0.820052498186673;0.70865601834534;0.75301540888331;0.46538290506951;0.201626382975745;0.299252093203683;0.379153742017674;0.79021574500399;0.792806546999955;0.131545783982529;0.0698168733938314
Dentate gyrus (L);0.687699677668621;0.677411086164369;0.375794185680409;0.192483009580435;;;0.778004202282815;0.489634905889626;0.73715689316747;0.514519456642072;0.62028694832605;0.189518549720563;0.728748675032658;0.838476374925107;1;0.935466711517144;0.863238830570026;0.8914390802827;0.677425448354042;0.477800052811688;0.413867297499607;0.518165218083342;0.858962835382071;0.849786099323984;0.117808206489318;0.19688580287292
Dentate gyrus (R);0.730812424570161;0.700271431232715;0.45855856252974;0.226514205235552;;;0.786744302886872;0.485581282131379;0.775103602557487;0.483272948834901;0.61693122732005;0.129622024944088;0.718390705179288;0.820052498186673;0.935466711517144;1;0.839121642603605;0.882920689859245;0.636572781947769;0.462201110993724;0.344761032860769;0.499827743661093;0.880618531653928;0.863919316157497;0.188702484360598;0.179729568236259
Subiculum (L);0.548665866794299;0.602845927276648;0.208988081256827;0.172432641472168;;;0.748455959238246;0.513019649927025;0.664345092188667;0.609343521571137;0.571963780897386;0.366639657061782;0.79101379620105;0.70865601834534;0.863238830570026;0.839121642603605;1;0.863503587443457;0.768064382377658;0.489387056634457;0.571635963632262;0.635803685313129;0.80341583907253;0.805533315581948;0.263482988591802;0.242230806453824
Subiculum (R);0.62128303684467;0.63319221812049;0.305919183813278;0.192342917071048;;;0.77839553904438;0.504718276503662;0.730715127747342;0.514255733812839;0.629850447868907;0.227942589471491;0.713716136254108;0.75301540888331;0.8914390802827;0.882920689859245;0.863503587443457;1;0.672599677172143;0.444577143290176;0.43906302153196;0.536096027537657;0.839126728201791;0.857912171442055;0.196619133600911;0.271134245440001
Dorsal hippocampus (L);0.484882349331142;0.621292231620952;0.0232878356696161;0.379771353405113;;;0.486086173220725;0.67121278212356;0.371150318059981;0.659716539692144;0.468891964816221;0.616666744911474;0.637651550700581;0.46538290506951;0.677425448354042;0.636572781947769;0.768064382377658;0.672599677172143;1;0.756560609193061;0.794332021228735;0.751766370926934;0.540100226241729;0.554479537342562;0.226920853659158;0.273228517367994
Dorsal hippocampus (R);0.65643231112926;0.754591528354074;0.310258893210357;0.658086113521574;;;0.197846746015759;0.785485149828619;0.120571200941301;0.409988447681757;0.259736307126816;0.496890340754111;0.393343787903932;0.201626382975745;0.477800052811688;0.462201110993724;0.489387056634457;0.444577143290176;0.756560609193061;1;0.59437574468229;0.663163106024225;0.37852292614352;0.324260300344835;0.103030125506273;0.455191570452422
Ventral hippocampus (L);0.200302793951077;0.361120609644453;-0.344186058949177;0.0891582194122993;;;0.242317981619655;0.49697944912633;0.12952169621493;0.552398196657544;0.413093733654526;0.687010645747121;0.62396368587835;0.299252093203683;0.413867297499607;0.344761032860769;0.571635963632262;0.43906302153196;0.794332021228735;0.59437574468229;1;0.754500756771652;0.299555287977718;0.385627471182922;0.142174778743312;0.209681918857342
