Matrix;Retrosplenial area (L);Retrosplenial area (R);Visual areas (L);Visual areas (R);Posterior parietal association areas (L);Posterior parietal association areas (R);Auditory areas (L);Auditory areas (R);Temporal association areas (L);Temporal association areas (R);Entorhinal area (L);Entorhinal area (R);Olfactory areas (L);Olfactory areas (R);Dentate gyrus (L);Dentate gyrus (R);Subiculum (L);Subiculum (R);Dorsal hippocampus (L);Dorsal hippocampus (R);Ventral hippocampus (L);Ventral hippocampus (R);Substantia nigra, reticular part (L);Substantia nigra, reticular part (R);Substantia nigra, compact part (L);Substantia nigra, compact part (R)
Retrosplenial area (L);1;0.902412466065245;0.934974054937582;0.870989148151454;0.650793913191734;0.213360441198002;0.794357685941204;0.379950854472665;0.483428945312518;0.677756702082767;0.51295215069438;0.745758526150924;0.808519309840612;0.813630887710308;0.911205659467447;0.895559182138553;0.869951011620209;0.86868790758799;0.913522002378356;0.909603107450614;0.899477496494018;0.877376221980217;0.904846248968732;0.897185917007272;0.659951076467591;0.641672365020506
Retrosplenial area (R);0.902412466065245;1;0.899143896373903;0.82862626551532;0.635113173057072;0.183995592148183;0.749453776353917;0.36233595719453;0.481860220072935;0.678502290016696;0.518371515548802;0.715944854284634;0.796512488885618;0.780932374751857;0.876096208051524;0.858584813004888;0.856442928159908;0.82961868965405;0.865779573320859;0.871177008871825;0.859181215048864;0.865747025716311;0.862990494845228;0.856364079742903;0.656782371383798;0.614527526160969
Visual areas (L);0.934974054937582;0.899143896373903;1;0.876032224621516;0.679591413099473;0.220409916575777;0.798411734926339;0.414614773917377;0.469931398376211;0.674685422728234;0.477808481839064;0.726280172207397;0.826362301588431;0.811844357803396;0.91673974309579;0.90748426273398;0.872821750732524;0.854499481432898;0.916530982405158;0.925576279364003;0.894895086244232;0.886206717940574;0.902852882654537;0.893475635062925;0.642965631409862;0.597265484996253
Visual areas (R);0.870989148151454;0.82862626551532;0.876032224621516;1;0.661570117247831;0.170815070281456;0.724495734225784;0.368649494064742;0.426864350682865;0.605078329445541;0.472457469962639;0.639422154256995;0.795148645409456;0.810873770589476;0.845261346265224;0.822041445577423;0.822575316850181;0.794327108750461;0.842783900059644;0.849219711805152;0.824421955976934;0.814999583251235;0.838980143979117;0.838188060759177;0.623733820028881;0.60507098395335
Posterior parietal association areas (L);0.650793913191734;0.635113173057072;0.679591413099473;0.661570117247831;1;0.201883107155486;0.590582085518109;0.366771769498636;0.299805727221161;0.557309733503235;0.392864057132109;0.492641077976355;0.606087148382451;0.663931595880671;0.638528865735269;0.643748949395049;0.662090737456306;0.615540318375043;0.649274982747388;0.640993466500131;0.661935637830929;0.645420133556985;0.611222019555362;0.629332519678105;0.528764439022977;0.44830406251676
Posterior parietal association areas (R);0.213360441198002;0.183995592148183;0.220409916575777;0.170815070281456;0.201883107155486;1;0.167814145287607;0.0971366576872197;0.0756749531540332;0.123194064974715;0.092926952443275;0.113243685284864;0.163127424774126;0.179805767998383;0.243772849122036;0.206968616803756;0.202296792431766;0.199387769302429;0.179499074831233;0.216218326853181;0.213618693910336;0.215380356643563;0.205899305455548;0.174314815266767;0.0796454581828419;0.0976149419275281
Auditory areas (L);0.794357685941204;0.749453776353917;0.798411734926339;0.724495734225784;0.590582085518109;0.167814145287607;1;0.339191317644826;0.392369251922338;0.562066504887109;0.446982223517421;0.64964763785491;0.700102056277771;0.737601363786276;0.778892812371707;0.775326066701556;0.774666022671365;0.759903655730069;0.789031420433041;0.795881237682409;0.748550183071761;0.777088320248516;0.772042756386124;0.78549090259083;0.583062982854725;0.496567913003035
Auditory areas (R);0.379950854472665;0.36233595719453;0.414614773917377;0.368649494064742;0.366771769498636;0.0971366576872197;0.339191317644826;1;0.247534761613086;0.300423866102172;0.182302210780784;0.279741643824161;0.339665142430246;0.380841564072759;0.392210510831892;0.418941561237202;0.403755799471346;0.38001376606384;0.4148009017446;0.388490146629898;0.396582959119481;0.408362737196076;0.392515531038231;0.406517460106793;0.307919849010778;0.205430941585497
Temporal association areas (L);0.483428945312518;0.481860220072935;0.469931398376211;0.426864350682865;0.299805727221161;0.0756749531540332;0.392369251922338;0.247534761613086;1;0.38473063475078;0.317239516163076;0.372065798613886;0.450566124182024;0.421560582997189;0.485205532137028;0.488948389292401;0.471042861733723;0.449045072919478;0.498214825035611;0.470392350335985;0.474479040639956;0.472156576574944;0.493060768830787;0.473661047405012;0.376441368461852;0.320596716955598
Temporal association areas (R);0.677756702082767;0.678502290016696;0.674685422728234;0.605078329445541;0.557309733503235;0.123194064974715;0.562066504887109;0.300423866102172;0.38473063475078;1;0.353913676101076;0.531678273183225;0.57559411820769;0.595035922072733;0.662201326998878;0.660351004996128;0.616538777023757;0.6259625243736;0.646687771777815;0.651309322892308;0.653498544084664;0.666425247707217;0.652170018039937;0.628807924451637;0.505311224491492;0.478175281004347
Entorhinal area (L);0.51295215069438;0.518371515548802;0.477808481839064;0.472457469962639;0.392864057132109;0.092926952443275;0.446982223517421;0.182302210780784;0.317239516163076;0.353913676101076;1;0.329370996900766;0.492309935003074;0.465645796834679;0.544407134721044;0.512572260532667;0.488567744331927;0.491747609181818;0.490552261158121;0.492269614541843;0.513622072211309;0.523360960294787;0.524141258404431;0.506642746894538;0.438824821804783;0.383962190889959
Entorhinal area (R);0.745758526150924;0.715944854284634;0.726280172207397;0.639422154256995;0.492641077976355;0.113243685284864;0.64964763785491;0.279741643824161;0.372065798613886;0.531678273183225;0.329370996900766;1;0.646673615039892;0.631031879467936;0.705999955162678;0.704383820576388;0.675206926475928;0.694294557975358;0.721241163672181;0.730390040377808;0.705997510133137;0.702069349125018;0.715925951789236;0.685970518727764;0.514053495909079;0.466147925740304
Olfactory areas (L);0.808519309840612;0.796512488885618;0.826362301588431;0.795148645409456;0.606087148382451;0.163127424774126;0.700102056277771;0.339665142430246;0.450566124182024;0.57559411820769;0.492309935003074;0.646673615039892;1;0.77802853943688;0.855879310847481;0.834688921119277;0.79126591360764;0.789323451382772;0.83406137035405;0.823252268417088;0.821690094861352;0.816500673641086;0.796923405445298;0.804855170689001;0.630889249022191;0.537568571545034
Olfactory areas (R);0.813630887710308;0.780932374751857;0.811844357803396;0.810873770589476;0.663931595880671;0.179805767998383;0.737601363786276;0.380841564072759;0.421560582997189;0.595035922072733;0.465645796834679;0.631031879467936;0.77802853943688;1;0.816281066100029;0.817520925700066;0.781880152893917;0.825872492096436;0.838297070861617;0.836426174660371;0.830812247222148;0.816894106939491;0.813929782114265;0.809871398468052;0.644533687693449;0.51556680482468
Dentate gyrus (L);0.911205659467447;0.876096208051524;0.91673974309579;0.845261346265224;0.638528865735269;0.243772849122036;0.778892812371707;0.392210510831892;0.485205532137028;0.662201326998878;0.544407134721044;0.705999955162678;0.855879310847481;0.816281066100029;1;0.924276577600533;0.869222046685086;0.874791589387916;0.925910481001914;0.919260463646915;0.894711974517893;0.893988582772991;0.903521238488495;0.893657880759801;0.64979264037352;0.585034397090252
Dentate gyrus (R);0.895559182138553;0.858584813004888;0.90748426273398;0.822041445577423;0.643748949395049;0.206968616803756;0.775326066701556;0.418941561237202;0.488948389292401;0.660351004996128;0.512572260532667;0.704383820576388;0.834688921119277;0.817520925700066;0.924276577600533;1;0.838454418795733;0.846406560735935;0.916550601928304;0.932268888053712;0.906336726823558;0.902894684913619;0.900605044678148;0.878672532977351;0.650309688894431;0.595531590153161
Subiculum (L);0.869951011620209;0.856442928159908;0.872821750732524;0.822575316850181;0.662090737456306;0.202296792431766;0.774666022671365;0.403755799471346;0.471042861733723;0.616538777023757;0.488567744331927;0.675206926475928;0.79126591360764;0.781880152893917;0.869222046685086;0.838454418795733;1;0.842391970156562;0.866713243178651;0.862746610243977;0.8372605808677;0.847899024856631;0.846377222012108;0.834074019485867;0.636388357858704;0.534740249661281
Subiculum (R);0.86868790758799;0.82961868965405;0.854499481432898;0.794327108750461;0.615540318375043;0.199387769302429;0.759903655730069;0.38001376606384;0.449045072919478;0.6259625243736;0.491747609181818;0.694294557975358;0.789323451382772;0.825872492096436;0.874791589387916;0.846406560735935;0.842391970156562;1;0.865173367467562;0.881174831223608;0.845211711784837;0.849500248918389;0.833631764467883;0.845825363273392;0.636143807188857;0.584675966053935
Dorsal hippocampus (L);0.913522002378356;0.865779573320859;0.916530982405158;0.842783900059644;0.649274982747388;0.179499074831233;0.789031420433041;0.4148009017446;0.498214825035611;0.646687771777815;0.490552261158121;0.721241163672181;0.83406137035405;0.838297070861617;0.925910481001914;0.916550601928304;0.866713243178651;0.865173367467562;1;0.916085258694533;0.884823162483263;0.879350867795274;0.90287792776273;0.901113624598858;0.659692577620073;0.588866508750501
Dorsal hippocampus (R);0.909603107450614;0.871177008871825;0.925576279364003;0.849219711805152;0.640993466500131;0.216218326853181;0.795881237682409;0.388490146629898;0.470392350335985;0.651309322892308;0.492269614541843;0.730390040377808;0.823252268417088;0.836426174660371;0.919260463646915;0.932268888053712;0.862746610243977;0.881174831223608;0.916085258694533;1;0.905708685235421;0.899344185534321;0.899658858893289;0.887451702000961;0.663794863948473;0.624898884127775
Ventral hippocampus (L);0.899477496494018;0.859181215048864;0.894895086244232;0.824421955976934;0.661935637830929;0.213618693910336;0.748550183071761;0.396582959119481;0.474479040639956;0.653498544084664;0.513622072211309;0.705997510133137;0.821690094861352;0.830812247222148;0.894711974517893;0.906336726823558;0.8372605808677;0.845211711784837;0.884823162483263;0.905708685235421;1;0.883472249240102;0.891669542907622;0.871553515641817;0.679299392573506;0.632877912547828
Ventral hippocampus (R);0.877376221980217;0.865747025716311;0.886206717940574;0.814999583251235;0.645420133556985;0.215380356643563;0.777088320248516;0.408362737196076;0.472156576574944;0.666425247707217;0.523360960294787;0.702069349125018;0.816500673641086;0.816894106939491;0.893988582772991;0.902894684913619;0.847899024856631;0.849500248918389;0.879350867795274;0.899344185534321;0.883472249240102;1;0.875399403776612;0.852527763823968;0.657835951367507;0.611226048624244
Substantia nigra, reticular part (L);0.904846248968732;0.862990494845228;0.902852882654537;0.838980143979117;0.611222019555362;0.205899305455548;0.772042756386124;0.392515531038231;0.493060768830787;0.652170018039937;0.524141258404431;0.715925951789236;0.796923405445298;0.813929782114265;0.903521238488495;0.900605044678148;0.846377222012108;0.833631764467883;0.90287792776273;0.899658858893289;0.891669542907622;0.875399403776612;1;0.870186448585673;0.676462448085833;0.622111482595119
