Matrix;Retrosplenial area (L);Retrosplenial area (R);Visual areas (L);Visual areas (R);Posterior parietal association areas (L);Posterior parietal association areas (R);Auditory areas (L);Auditory areas (R);Temporal association areas (L);Temporal association areas (R);Entorhinal area (L);Entorhinal area (R);Olfactory areas (L);Olfactory areas (R);Dentate gyrus (L);Dentate gyrus (R);Subiculum (L);Subiculum (R);Dorsal hippocampus (L);Dorsal hippocampus (R);Ventral hippocampus (L);Ventral hippocampus (R);Substantia nigra, reticular part (L);Substantia nigra, reticular part (R);Substantia nigra, compact part (L);Substantia nigra, compact part (R)
Retrosplenial area (L);1;0.816647070195416;0.883717033154649;0.767872069366662;0.681136461731724;0.738943954303557;0.692740006520109;0.717011171591203;0.530513683159436;0.627580310728186;0.563738890935569;0.610098238854898;0.701637352345901;0.679675222420499;0.66621358850177;0.694767621938663;0.707911705946305;0.711958418043093;0.713010522674504;0.688311288749678;0.636925519995194;0.476703069380417;0.367017288379163;0.517397349789559;0.439081110148694;0.455504574971117
Retrosplenial area (R);0.816647070195416;1;0.487087992086674;0.941502766881664;0.851532819807147;0.879439435761782;0.89261405674092;0.907835293626906;0.737082361965809;0.815168596925502;0.804338925694782;0.824842634837354;0.88733165856064;0.868311736627061;0.886818665409353;0.885773698629349;0.910589430986945;0.884450422493702;0.919859525871645;0.891604512585596;0.851504647332289;0.671534287190536;0.619151823353808;0.731076589415764;0.634718126504466;0.665190192438361
Visual areas (L);0.883717033154649;0.487087992086674;1;0.443270492790905;0.383676158597058;0.432219705141522;0.372015709069369;0.395186953899923;0.238952815713675;0.337082687811014;0.234962239381776;0.279151879568753;0.387928128698845;0.370497867887542;0.339835158460476;0.380597838232011;0.370298941215684;0.40812080532967;0.380893252889795;0.361198401050112;0.325156824170773;0.213901131534204;0.104564514493345;0.247149462707396;0.196578371446828;0.209775564589668
Visual areas (R);0.767872069366662;0.941502766881664;0.443270492790905;1;0.882288288549377;0.906292649048275;0.951471223580784;0.950340969221199;0.805767648670555;0.876989294915959;0.844182001675368;0.885743969355565;0.91466474223436;0.915140627005325;0.925216505603988;0.925654950034671;0.943503182322533;0.936016658728252;0.960696190773002;0.94228061179213;0.905836639442055;0.714078289943327;0.638871429725674;0.783984203117778;0.666031387183216;0.724808605603024
Posterior parietal association areas (L);0.681136461731724;0.851532819807147;0.383676158597058;0.882288288549377;1;0.795289391725535;0.869394463800147;0.885355817435489;0.776876567707153;0.849418106562383;0.809021456384825;0.809309575485877;0.875596257706654;0.87217003825983;0.882732333027756;0.87351786088826;0.868515794001626;0.885244016520912;0.88576989900555;0.887791474533293;0.862176134727387;0.7253807368867;0.641555280844801;0.77929690391224;0.627071446814966;0.684609693208833
Posterior parietal association areas (R);0.738943954303557;0.879439435761782;0.432219705141522;0.906292649048275;0.795289391725535;1;0.883092236502963;0.884555654440762;0.799909419111461;0.828615971374298;0.808310444943;0.844675754001374;0.863955395299002;0.862376225178843;0.870716149182218;0.880623843455948;0.881681190605156;0.860594128968276;0.896046782143946;0.892898578763055;0.839753220878513;0.705191578560116;0.636275613245392;0.755854210073434;0.63457922797813;0.705272857094692
Auditory areas (L);0.692740006520109;0.89261405674092;0.372015709069369;0.951471223580784;0.869394463800147;0.883092236502963;1;0.981981269993534;0.87243417106663;0.922517863813686;0.905969405947954;0.889944093385227;0.954767987368966;0.966071348704614;0.961343812470335;0.976080201792668;0.959855905574262;0.969499537501735;0.976359997039691;0.982172620934273;0.961506740957111;0.802796076256818;0.712421282381472;0.865268348065166;0.69346042738745;0.782474522968017
Auditory areas (R);0.717011171591203;0.907835293626906;0.395186953899923;0.950340969221199;0.885355817435489;0.884555654440762;0.981981269993534;1;0.860654707874912;0.922995034789216;0.918557264140377;0.896855486795487;0.972094688611827;0.973933509751412;0.960557314365013;0.982302228061008;0.958909266388127;0.974103314535545;0.978835056912107;0.980932513522722;0.960983537416534;0.788985507756288;0.719275888597165;0.864379529470776;0.697871893363213;0.763786461341295
Temporal association areas (L);0.530513683159436;0.737082361965809;0.238952815713675;0.805767648670555;0.776876567707153;0.799909419111461;0.87243417106663;0.860654707874912;1;0.891273522636802;0.864786830508816;0.81609945443162;0.856857560862043;0.883271262731133;0.863711789487038;0.889260171662118;0.860490858803157;0.86385311005544;0.860623391302075;0.895686645957614;0.901771578179992;0.868306460037891;0.708297461177972;0.889089422182692;0.657133388275925;0.772689774080341
Temporal association areas (R);0.627580310728186;0.815168596925502;0.337082687811014;0.876989294915959;0.849418106562383;0.828615971374298;0.922517863813686;0.922995034789216;0.891273522636802;1;0.873763074920295;0.844352990268491;0.921551650850849;0.937354545715242;0.91488569975861;0.930278083855815;0.899993370004743;0.925665703723931;0.913575281871596;0.936356960504976;0.933776719988003;0.841765007482764;0.740139631534664;0.906379748397779;0.686085278875438;0.803505024276003
Entorhinal area (L);0.563738890935569;0.804338925694782;0.234962239381776;0.844182001675368;0.809021456384825;0.808310444943;0.905969405947954;0.918557264140377;0.864786830508816;0.873763074920295;1;0.841652667103246;0.93382420532606;0.920682790078359;0.897356674369502;0.925554379692621;0.895656117459255;0.890808348056671;0.898682716922299;0.91980598486641;0.930948621106589;0.814432336253758;0.769830078486499;0.853023435126223;0.687036161868215;0.725275131611697
