Matrix;Retrosplenial area (L);Retrosplenial area (R);Visual areas (L);Visual areas (R);Posterior parietal association areas (L);Posterior parietal association areas (R);Auditory areas (L);Auditory areas (R);Temporal association areas (L);Temporal association areas (R);Entorhinal area (L);Entorhinal area (R);Olfactory areas (L);Olfactory areas (R);Dentate gyrus (L);Dentate gyrus (R);Subiculum (L);Subiculum (R);Dorsal hippocampus (L);Dorsal hippocampus (R);Ventral hippocampus (L);Ventral hippocampus (R);Substantia nigra, reticular part (L);Substantia nigra, reticular part (R);Substantia nigra, compact part (L);Substantia nigra, compact part (R)
Retrosplenial area (L);1;0.215240508415868;0.349685467836533;0.0234529678859563;0.167941516890731;-0.16881462741572;0.103062256322035;0.0262291327551049;0.183847760913121;-0.0283224723963057;0.352816025681473;0.165555634413032;0.354057937317283;0.185139038615527;0.454406151229194;-0.0898790427673634;0.386472518426337;0.0523022856636994;0.287516082856524;0.319067830362268;0.440951934905274;0.475437912877946;0.169081699991439;0.29421368734147;0.0451103688742531;0.119306738216721
Retrosplenial area (R);0.215240508415868;1;0.214556466363347;0.340792661107604;0.275059074327524;0.121438026754383;0.282889772903823;0.196675434739354;0.0409637904764627;0.104013912855887;0.216362897400148;0.138409938820445;0.161270197977783;0.184069394303406;0.494729581967916;0.321908433144451;0.285806181066474;0.237496584172878;0.40018726207995;0.401129744104959;0.292401510527564;0.209386549369765;0.261756012638005;-0.015507987665738;0.0354861381447289;0.0939934313886193
Visual areas (L);0.349685467836533;0.214556466363347;1;0.412232001361547;0.519137780543702;0.172307073097693;0.373799368892514;0.284224013123823;0.162144859980242;0.214499091761674;0.0754531669965378;0.164274355228982;0.208519407947069;0.360263713385224;0.425329016388343;0.0196393960470544;0.282125560789078;0.164067268849397;0.294781226223635;0.514644739668947;0.323844670085168;0.229347366999642;0.270620082960175;0.314519243590786;0.0425694989376392;-0.0499227781202024
Visual areas (R);0.0234529678859563;0.340792661107604;0.412232001361547;1;0.486474434711303;0.231757046970449;0.40716264991241;0.202207883488621;0.127192102441171;0.195563998576835;-0.0762761931142375;0.0314680252018424;0.161722932565805;0.236292287385716;0.351566273102342;0.194849966494702;0.137419207355361;0.248588744993515;0.297682611404973;0.615257493008289;0.135110235448355;0.215279697997959;0.252183692393276;0.0861619105975737;0.0237385954372121;-0.0407347598395755
Posterior parietal association areas (L);0.167941516890731;0.275059074327524;0.519137780543702;0.486474434711303;1;0.135490307583173;0.377990358452811;0.0958186516666307;0.14222023642024;0.21527917588297;-0.0892331278260828;0.0197992908112348;0.14034206535135;0.199871340091308;0.259517131928755;0.100284409123091;0.247884676289426;0.279476704681061;0.127188417882268;0.463209304305691;0.139571271587719;0.198492866926787;0.25578822087589;0.211047083295145;-0.10105934692333;0.141053480576445
Posterior parietal association areas (R);-0.16881462741572;0.121438026754383;0.172307073097693;0.231757046970449;0.135490307583173;1;0.175568983743544;0.152259411779785;0.0200383443231365;0.0155109101570578;-0.0887997660140659;-0.0408006550400966;-0.108192526636623;0.152201938767341;0.183171812296201;0.17308712507599;0.0162162842035075;0.104398881412033;0.169884560067677;0.230903125205286;0.199235455719587;-0.109269616079154;0.0975119767963742;-0.0269850099652505;0.00103102878102996;0.0482292104050341
Auditory areas (L);0.103062256322035;0.282889772903823;0.373799368892514;0.40716264991241;0.377990358452811;0.175568983743544;1;0.265687453798161;0.184652946967385;0.257872729184242;-0.0564923042020517;0.128978191348966;0.155142697255468;0.160490137872372;0.230978881755054;0.301967770599461;0.116418206946928;0.362683734021806;0.376584871413154;0.52708056723308;0.288391167594438;0.24816464608419;0.193777268408431;0.2019776874474;-0.104214855439504;0.0906262615695725
Auditory areas (R);0.0262291327551049;0.196675434739354;0.284224013123823;0.202207883488621;0.0958186516666307;0.152259411779785;0.265687453798161;0.999999999999999;-0.043526841873445;0.233641101129847;0.172476018857265;0.0803128532240569;-0.0183938838192764;0.215292009963771;0.18408506828997;0.0757237178626244;0.130245756909743;-0.0334836218296578;0.248651542024751;0.263429853157885;0.147014455362926;0.0810198328636893;0.00120763336512503;0.00746600547189955;-0.060447434458491;-0.0832213082908855
Temporal association areas (L);0.183847760913121;0.0409637904764627;0.162144859980242;0.127192102441171;0.14222023642024;0.0200383443231365;0.184652946967385;-0.043526841873445;1;0.0679994342351885;0.0340906139962868;0.214779979181498;0.0738990370636493;0.0871377946144941;0.129982418326693;0.0217412183147385;-0.0521154985763503;0.0985659463220681;0.205648143610631;0.245221376154893;0.210961612060645;0.183623493373259;0.113120416659416;0.124621267544049;-0.0928560546102964;0.0333271718868199
Temporal association areas (R);-0.0283224723963057;0.104013912855887;0.214499091761674;0.195563998576835;0.21527917588297;0.0155109101570578;0.257872729184242;0.233641101129847;0.0679994342351885;1;-0.260330206770551;0.0211777383247588;-0.0068218538561278;0.228661212783759;-0.0186745903873074;0.0598671671617965;-0.00698423520584895;0.120147449349475;0.194835848584662;0.191504709748378;-0.0173063286229553;0.102269013693058;-0.0469295760083425;0.129307842299723;-0.0970489402975127;0.16575321990777
Entorhinal area (L);0.352816025681473;0.216362897400148;0.0754531669965378;-0.0762761931142375;-0.0892331278260828;-0.0887997660140659;-0.0564923042020517;0.172476018857265;0.0340906139962868;-0.260330206770551;1;0.317296160786434;0.343626182869268;0.161936172161419;0.385394652453321;-0.054214813180009;0.211937958024492;0.00120257412605608;0.138386685114869;0.189731982437569;0.36283210724115;0.289517354037425;-0.0120968623302903;-0.0697701045650285;0.148966073591389;-0.096634152861562
Entorhinal area (R);0.165555634413032;0.138409938820445;0.164274355228982;0.0314680252018424;0.0197992908112348;-0.0408006550400966;0.128978191348966;0.0803128532240569;0.214779979181498;0.0211777383247588;0.317296160786434;1;0.206192625909236;0.10000507163925;0.195969022916032;0.217898493581433;0.192016057740701;0.049933673838337;0.0450024375031332;0.269384716377396;0.209842012394868;0.432649969287446;0.230687831744944;0.0803645728527954;0.0638401752854915;0.0791420705986067
Olfactory areas (L);0.354057937317283;0.161270197977783;0.208519407947069;0.161722932565805;0.14034206535135;-0.108192526636623;0.155142697255468;-0.0183938838192764;0.0738990370636493;-0.0068218538561278;0.343626182869268;0.206192625909236;1;0.2357056241977;0.392852135689287;-0.012432528482951;0.174520983011284;-0.070559987137017;0.00423234333220819;0.188184870633608;0.311122190853035;0.141495884423481;0.1723547732176;0.148857607777974;0.258409375935369;0.0744047934104091
Olfactory areas (R);0.185139038615527;0.184069394303406;0.360263713385224;0.236292287385716;0.199871340091308;0.152201938767341;0.160490137872372;0.215292009963771;0.0871377946144941;0.228661212783759;0.161936172161419;0.10000507163925;0.2357056241977;1;0.348802030258589;-0.0414327112985655;0.0876594847994308;-0.0807211511441612;0.217610724981875;0.165144317662516;0.332553702691869;0.097478270708161;0.0532323142922332;0.216950575770365;0.0530048646427412;0.00522904808740948
Dentate gyrus (L);0.454406151229194;0.494729581967916;0.425329016388343;0.351566273102342;0.259517131928755;0.183171812296201;0.230978881755054;0.18408506828997;0.129982418326693;-0.0186745903873074;0.385394652453321;0.195969022916032;0.392852135689287;0.348802030258589;0.999999999999999;0.218097101496568;0.479791568204521;0.249159000177726;0.544502147283311;0.386854682073878;0.550180648983797;0.354226566779226;0.300031087748949;0.112128976709368;0.189014376909315;0.00560496758598244
