Matrix;Retrosplenial area (L);Retrosplenial area (R);Visual areas (L);Visual areas (R);Posterior parietal association areas (L);Posterior parietal association areas (R);Auditory areas (L);Auditory areas (R);Temporal association areas (L);Temporal association areas (R);Entorhinal area (L);Entorhinal area (R);Olfactory areas (L);Olfactory areas (R);Dentate gyrus (L);Dentate gyrus (R);Subiculum (L);Subiculum (R);Dorsal hippocampus (L);Dorsal hippocampus (R);Ventral hippocampus (L);Ventral hippocampus (R);Substantia nigra, reticular part (L);Substantia nigra, reticular part (R);Substantia nigra, compact part (L);Substantia nigra, compact part (R)
Retrosplenial area (L);1;0.52479335376916;0.286441226891877;0.382709652822302;;;0.113924580321763;0.409343441276749;0.503380552035006;-0.093463383604189;0.198182281173509;0.254048837343635;0.0849755561421986;0.165480302482068;0.147175531426847;0.0643492731920682;0.0635269744477415;0.3237143995046;-0.0489395926708443;0.328976177626298;0.125720835439579;-0.0829060671334311;-0.09950512259198;-0.268694961833131;-0.050089659699425;0.077485515704835
Retrosplenial area (R);0.52479335376916;1;0.701412720936223;0.35959040152864;;;0.392748004738612;0.279594569151941;0.501990675650569;0.0438752358772563;0.247765595911895;0.283329513748464;0.195616751685128;0.420681359389218;0.417192164664034;0.409966845858319;0.120639726115576;0.266925669954765;0.0617944084027795;0.36798284046182;0.119675580136833;0.216001133999179;0.290010178880914;-0.249035984288267;-0.336693493899342;-0.0457262248996225
Visual areas (L);0.286441226891877;0.701412720936223;1;0.337984787996166;;;0.294689944701892;0.302475064666016;0.538614117253775;0.373611500423789;0.263454693110412;0.209133926978479;0.38877507182382;0.662450776073195;0.364086252253346;0.414404048440371;0.237929055408869;0.284782705970267;0.088546621213659;0.38344211251555;0.224179802519926;0.250398860093976;0.55323291861903;-0.0269716690788923;-0.202829441216357;0.0214687106018362
Visual areas (R);0.382709652822302;0.35959040152864;0.337984787996166;1;;;-0.00399749394733546;-0.147326926310253;0.341909111689163;-0.119597641028208;0.15261767019404;0.270655344052393;0.0967223700528812;0.215078092856842;-0.270514124821938;-0.223698957007891;-0.144381009606871;0.047781993592565;-0.0550338687065969;0.0349742483233317;-0.113974770212543;-0.20172491867453;-0.050267743109641;-0.339937533227607;-0.0422540255905276;0.0549473724814192
Posterior parietal association areas (L);;;;;;;;;;;;;;;;;;;;;;;;;;
Posterior parietal association areas (R);;;;;;;;;;;;;;;;;;;;;;;;;;
Auditory areas (L);0.113924580321763;0.392748004738612;0.294689944701892;-0.00399749394733546;;;1;0.313056000488025;0.299781224246198;0.392824999125756;0.264651685534921;0.293904506372879;-0.394293181297872;0.464845518800686;0.299751358125316;0.0843699760662857;0.0501683974122759;0.0238113500841904;-0.132714131930471;-0.00641020322232761;-0.216028023713176;-0.113032858361638;0.101643608679858;-0.266385401878383;0.0280055178975237;-0.115907632150728
Auditory areas (R);0.409343441276749;0.279594569151941;0.302475064666016;-0.147326926310253;;;0.313056000488025;1;0.181525527024385;0.397214127889048;0.341808712794274;0.201432289857845;0.08563399745977;0.346558324419399;0.286532384179514;0.107145071215806;0.137384726905068;0.337335442209815;0.164613190332332;0.321773677382486;0.176912368063964;-0.125277524163136;0.107271684271339;-0.124818938068315;-0.0327870528529014;0.222349085980105
Temporal association areas (L);0.503380552035006;0.501990675650569;0.538614117253775;0.341909111689163;;;0.299781224246198;0.181525527024385;1;0.220227854516393;0.158807977152141;0.160963293315207;0.0212403800622903;0.324307078452302;0.0194558146435912;0.123337633987634;-0.0246116445558989;0.239734945033913;-0.243975635119195;0.189549579286852;-0.0482605413617378;-0.132695494304611;0.0936139116877642;-0.290929306029187;0.0435489445092847;-0.191874619066279
Temporal association areas (R);-0.093463383604189;0.0438752358772563;0.373611500423789;-0.119597641028208;;;0.392824999125756;0.397214127889048;0.220227854516393;1;0.341843658617503;0.372396254828201;-0.0458059351952112;0.224718889962917;-0.168453375225518;-0.153835271364446;0.0203813340487091;0.188214728356253;-0.266534115767259;-0.0319767119561808;-0.193443274944994;-0.273926819508502;0.034379062316362;-0.332075353747664;0.0530102788604776;0.0414195984645377
Entorhinal area (L);0.198182281173509;0.247765595911895;0.263454693110412;0.15261767019404;;;0.264651685534921;0.341808712794274;0.158807977152141;0.341843658617503;1;0.512406367114201;-0.109452126658549;0.240226161471215;0.0462262758210882;-0.154628322287389;0.206761792373896;-0.149989876664325;0.236802717970274;0.198974349340291;0.377256922190089;-0.142344470851804;-0.00053330773962848;-0.15692833584218;-0.253438798726791;0.434815236484686
Entorhinal area (R);0.254048837343635;0.283329513748464;0.209133926978479;0.270655344052393;;;0.293904506372879;0.201432289857845;0.160963293315207;0.372396254828201;0.512406367114201;1;-0.144430133702687;0.049322241565199;-0.122643167937587;-0.392562601061169;-0.0498736319925698;-0.193273858379641;0.0314894293787923;-0.0965169161464636;-0.110242275245861;-0.204063724756752;-0.292340624293404;-0.532056176759545;-0.16548696728416;0.572260252235598
Olfactory areas (L);0.0849755561421986;0.195616751685128;0.38877507182382;0.0967223700528812;;;-0.394293181297872;0.08563399745977;0.0212403800622903;-0.0458059351952112;-0.109452126658549;-0.144430133702687;1;0.217506109651161;0.206918960989031;0.507642248619032;-0.208029347389195;0.230338625892348;0.252607542940718;0.378600765209646;0.350062978445808;0.321437973595531;0.547643585870977;0.365244636849673;-0.2639742101348;-0.0284433959886735
Olfactory areas (R);0.165480302482068;0.420681359389218;0.662450776073195;0.215078092856842;;;0.464845518800686;0.346558324419399;0.324307078452302;0.224718889962917;0.240226161471215;0.049322241565199;0.217506109651161;1;0.357709726742581;0.408731495962549;0.165982257966179;0.29626718365672;0.1649432741325;0.387243111008301;0.234198421954437;0.196965354240558;0.499179577214516;0.158821465503804;0.176154280064166;0.0383984360015504
Dentate gyrus (L);0.147175531426847;0.417192164664034;0.364086252253346;-0.270514124821938;;;0.299751358125316;0.286532384179514;0.0194558146435912;-0.168453375225518;0.0462262758210882;-0.122643167937587;0.206918960989031;0.357709726742581;1;0.644540494380874;0.409189724424454;-0.0382571206058215;0.409961784817115;0.284733555500646;0.379114396255135;0.582157036368788;0.551884485982416;0.487304184397052;-0.193435073388046;-0.00906298726335266
Dentate gyrus (R);0.0643492731920682;0.409966845858319;0.414404048440371;-0.223698957007891;;;0.0843699760662857;0.107145071215806;0.123337633987634;-0.153835271364446;-0.154628322287389;-0.392562601061169;0.507642248619032;0.408731495962549;0.644540494380874;1;0.0942005731338493;0.28652551726048;0.200780481939692;0.657304569678955;0.476414541565956;0.612710489104496;0.64472706198641;0.496239727228475;-0.228732064830869;-0.390534784025962
Subiculum (L);0.0635269744477415;0.120639726115576;0.237929055408869;-0.144381009606871;;;0.0501683974122759;0.137384726905068;-0.0246116445558989;0.0203813340487091;0.206761792373896;-0.0498736319925698;-0.208029347389195;0.165982257966179;0.409189724424454;0.0942005731338493;1;0.030103682883143;0.318560353035498;0.116241540250063;0.366745225089262;0.318397490405488;0.151451208484488;0.288290424021851;-0.0112551431085792;0.314560555334645
Subiculum (R);0.3237143995046;0.266925669954765;0.284782705970267;0.047781993592565;;;0.0238113500841904;0.337335442209815;0.239734945033913;0.188214728356253;-0.149989876664325;-0.193273858379641;0.230338625892348;0.29626718365672;-0.0382571206058215;0.28652551726048;0.030103682883143;1;-0.102059658358638;0.342996994108218;-0.0411196472788282;-0.121515345784205;0.104304948270003;0.019811185963279;0.360812339096546;-0.114241713670098
Dorsal hippocampus (L);-0.0489395926708443;0.0617944084027795;0.088546621213659;-0.0550338687065969;;;-0.132714131930471;0.164613190332332;-0.243975635119195;-0.266534115767259;0.236802717970274;0.0314894293787923;0.252607542940718;0.1649432741325;0.409961784817115;0.200780481939692;0.318560353035498;-0.102059658358638;1;0.239966209464694;0.669916222005693;0.331821038747129;0.195162319080184;0.403945930293822;-0.226651026421972;0.268077540027308
Dorsal hippocampus (R);0.328976177626298;0.36798284046182;0.38344211251555;0.0349742483233317;;;-0.00641020322232761;0.321773677382486;0.189549579286852;-0.0319767119561808;0.198974349340291;-0.0965169161464636;0.378600765209646;0.387243111008301;0.284733555500646;0.657304569678955;0.116241540250063;0.342996994108218;0.239966209464694;1;0.535044176807287;0.437955720620932;0.239997532624918;0.16977197936493;-0.243129529933438;-0.0332622127145285
Ventral hippocampus (L);0.125720835439579;0.119675580136833;0.224179802519926;-0.113974770212543;;;-0.216028023713176;0.176912368063964;-0.0482605413617378;-0.193443274944994;0.377256922190089;-0.110242275245861;0.350062978445808;0.234198421954437;0.379114396255135;0.476414541565956;0.366745225089262;-0.0411196472788282;0.669916222005693;0.535044176807287;1;0.526804622184585;0.318598983671183;0.480042568176097;-0.273117289986061;0.0858114799082167
Ventral hippocampus (R);-0.0829060671334311;0.216001133999179;0.250398860093976;-0.20172491867453;;;-0.113032858361638;-0.125277524163136;-0.132695494304611;-0.273926819508502;-0.142344470851804;-0.204063724756752;0.321437973595531;0.196965354240558;0.582157036368788;0.612710489104496;0.318397490405488;-0.121515345784205;0.331821038747129;0.437955720620932;0.526804622184585;1;0.445541941378026;0.39761166633685;-0.129937413671755;-0.0805137393552968
Substantia nigra, reticular part (L);-0.09950512259198;0.290010178880914;0.55323291861903;-0.050267743109641;;;0.101643608679858;0.107271684271339;0.0936139116877642;0.034379062316362;-0.00053330773962848;-0.292340624293404;0.547643585870977;0.499179577214516;0.551884485982416;0.64472706198641;0.151451208484488;0.104304948270003;0.195162319080184;0.239997532624918;0.318598983671183;0.445541941378026;1;0.536778882230941;-0.152829516693559;-0.169872387264774
Substantia nigra, reticular part (R);-0.268694961833131;-0.249035984288267;-0.0269716690788923;-0.339937533227607;;;-0.266385401878383;-0.124818938068315;-0.290929306029187;-0.332075353747664;-0.15692833584218;-0.532056176759545;0.365244636849673;0.158821465503804;0.487304184397052;0.496239727228475;0.288290424021851;0.019811185963279;0.403945930293822;0.16977197936493;0.480042568176097;0.39761166633685;0.536778882230941;1;0.0566200648844983;-0.0545495294512315
Substantia nigra, compact part (L);-0.050089659699425;-0.336693493899342;-0.202829441216357;-0.0422540255905276;;;0.0280055178975237;-0.0327870528529014;0.0435489445092847;0.0530102788604776;-0.253438798726791;-0.16548696728416;-0.2639742101348;0.176154280064166;-0.193435073388046;-0.228732064830869;-0.0112551431085792;0.360812339096546;-0.226651026421972;-0.243129529933438;-0.273117289986061;-0.129937413671755;-0.152829516693559;0.0566200648844983;1;-0.0339158718173264
Substantia nigra, compact part (R);0.077485515704835;-0.0457262248996225;0.0214687106018362;0.0549473724814192;;;-0.115907632150728;0.222349085980105;-0.191874619066279;0.0414195984645377;0.434815236484686;0.572260252235598;-0.0284433959886735;0.0383984360015504;-0.00906298726335266;-0.390534784025962;0.314560555334645;-0.114241713670098;0.268077540027308;-0.0332622127145285;0.0858114799082167;-0.0805137393552968;-0.169872387264774;-0.0545495294512315;-0.0339158718173264;1
