Matrix;Retrosplenial area (L);Retrosplenial area (R);Visual areas (L);Visual areas (R);Posterior parietal association areas (L);Posterior parietal association areas (R);Auditory areas (L);Auditory areas (R);Temporal association areas (L);Temporal association areas (R);Entorhinal area (L);Entorhinal area (R);Olfactory areas (L);Olfactory areas (R);Dentate gyrus (L);Dentate gyrus (R);Subiculum (L);Subiculum (R);Dorsal hippocampus (L);Dorsal hippocampus (R);Ventral hippocampus (L);Ventral hippocampus (R);Substantia nigra, reticular part (L);Substantia nigra, reticular part (R);Substantia nigra, compact part (L);Substantia nigra, compact part (R)
Retrosplenial area (L);1;0.523087642873011;0.808690634982855;0.49756651775784;;;0.67185125593765;0.624301906026831;0.303272893400354;0.440256621284442;0.417549885186143;0.392702050481927;0.0521341454608911;0.427820662352375;0.568373467405893;0.455772753511345;0.52996930471229;0.566176724889046;0.621212774667144;0.578216103661963;0.404585083565482;0.58764546240329;0.255290289264635;0.303914176042351;0.340051529755312;0.0981885663048801
Retrosplenial area (R);0.523087642873011;1;0.60869791072768;0.323816669837648;;;0.338463031374496;0.45302097642164;0.0669775165014608;0.210386798827887;0.337667662722195;0.378653705222803;0.072727319188171;0.356995872045283;0.326462556899187;0.317208547631089;0.290868327105262;0.305959506534701;0.383997481334849;0.374150876391631;0.154199707739907;0.393270591635408;0.00420087613949733;0.196542205914095;0.142086894923506;-0.00799738163566592
Visual areas (L);0.808690634982855;0.60869791072768;1;0.438637042329654;;;0.75556896130655;0.812748879730885;0.289557789525176;0.465495368518181;0.374770623480179;0.416370757165752;0.114005348472342;0.367071071687764;0.39022089221684;0.346261264598703;0.430515465560473;0.543305595282258;0.614683712489433;0.579406565076969;0.274134662478673;0.492675545815657;0.132755248159696;0.23968352349653;0.337641729084961;-0.0118196953646162
Visual areas (R);0.49756651775784;0.323816669837648;0.438637042329654;0.999999999999999;;;0.482797457611751;0.382605174000715;0.0903373959131063;0.33848261180467;0.515711647193256;0.552946173426414;0.308688927242443;0.472796229590813;0.587777040321724;0.574897220277749;0.566781506177379;0.49732098618598;0.639867426186528;0.548804602405762;0.344033724967374;0.573678954394651;0.233054115574675;0.111296281038428;0.219166177171646;0.0208324799166969
Posterior parietal association areas (L);;;;;;;;;;;;;;;;;;;;;;;;;;
Posterior parietal association areas (R);;;;;;;;;;;;;;;;;;;;;;;;;;
Auditory areas (L);0.67185125593765;0.338463031374496;0.75556896130655;0.482797457611751;;;1;0.581144521526613;0.0771219849049322;0.403920480601874;0.438254649096407;0.466555537443838;0.238660896709653;0.426090791912893;0.480683080791931;0.484586865319761;0.502130110014188;0.574264928211247;0.622377528581662;0.683564185110386;0.307970495890141;0.594521464654141;0.277179679765911;0.274730112159103;0.34791595248646;-0.0175459044656345
Auditory areas (R);0.624301906026831;0.45302097642164;0.812748879730885;0.382605174000715;;;0.581144521526613;1;0.220346100988407;0.359240979145082;0.230111222135019;0.368666915588377;-0.0166721886025094;0.31967486216378;0.310268763321134;0.237203525457817;0.330287514687704;0.457043473540151;0.526115579357093;0.483714953084582;0.165469589830558;0.355925296456758;0.101000626756044;0.284135136333553;0.324564674629672;-0.0210841832795312
Temporal association areas (L);0.303272893400354;0.0669775165014608;0.289557789525176;0.0903373959131063;;;0.0771219849049322;0.220346100988407;1;0.305666884490796;0.152861493387054;0.163823878958889;-0.145991572151664;0.0706880391198968;0.158528990394785;0.132197937105523;0.209210416559121;0.185647166373431;0.234141303436185;0.193385371243118;0.21126865238125;0.0641251959503983;0.150171570493253;0.129839365186094;0.185407488549045;0.218789243379719
Temporal association areas (R);0.440256621284442;0.210386798827887;0.465495368518181;0.33848261180467;;;0.403920480601874;0.359240979145082;0.305666884490796;1;0.351042154295467;0.344989715901971;0.0803015797739079;0.295214989822127;0.286314050569792;0.346352033958996;0.360058959075727;0.364685692208349;0.49672226745584;0.417355765821732;0.143613885610092;0.362529977439745;0.36980299141107;0.153779671053811;0.32003217364425;0.200657577691486
