Matrix;Retrosplenial area (L);Retrosplenial area (R);Visual areas (L);Visual areas (R);Posterior parietal association areas (L);Posterior parietal association areas (R);Auditory areas (L);Auditory areas (R);Temporal association areas (L);Temporal association areas (R);Entorhinal area (L);Entorhinal area (R);Olfactory areas (L);Olfactory areas (R);Dentate gyrus (L);Dentate gyrus (R);Subiculum (L);Subiculum (R);Dorsal hippocampus (L);Dorsal hippocampus (R);Ventral hippocampus (L);Ventral hippocampus (R);Substantia nigra, reticular part (L);Substantia nigra, reticular part (R);Substantia nigra, compact part (L);Substantia nigra, compact part (R)
Retrosplenial area (L);1;0.740937066488698;0.694698831255964;0.16867608544286;0.0789504219419161;0.16804874939553;0.548519906359647;0.726152895913085;0.241195298740184;0.497794183134768;0.117304967347267;0.674101811822277;0.443569633189251;0.445214271379418;0.640348497523008;0.542569368001836;0.685722916421768;0.469918027349115;0.730453222495673;0.637738809783561;0.234980907597575;0.639733318582145;0.358038519937074;0.368663445194596;0.320559116087311;0.436975731420069
Retrosplenial area (R);0.740937066488698;1;0.628930748596831;0.35999516666145;0.10621084365549;0.351973620466763;0.653768437545605;0.633784989060335;0.25664795737308;0.506431258167146;0.246007245745738;0.652827070069148;0.327688846257914;0.591950316081157;0.678985765589123;0.668755917718626;0.72721227268708;0.586100531696413;0.728465047755117;0.694490970121252;0.361506302085128;0.72871197255047;0.363039793744838;0.514942880673934;0.504912395833866;0.495549029067795
Visual areas (L);0.694698831255964;0.628930748596831;1;0.373670981984555;0.318276017261152;0.357813029789907;0.436162803547584;0.648066704952005;0.225554584645375;0.399861958232187;0.195015282454271;0.564641483872835;0.505452831114266;0.519702678057181;0.418044508459668;0.322630434199654;0.475867187110717;0.279294677888579;0.618575077426378;0.412338021930574;0.245416262575297;0.411597510796316;0.229400704753823;0.443495879041391;0.243344155041091;0.260673292674529
Visual areas (R);0.16867608544286;0.35999516666145;0.373670981984555;1;0.353365138758489;0.888038457938342;0.0966803785106771;0.0524123113445787;0.0866812814148046;-0.154495184715876;-0.0242366406139418;0.314656806978208;0.248551993762192;0.38724631945491;-0.0140854512434887;-0.0316194971027011;0.125835471481505;-0.0342227358488172;0.103072074505841;-0.161174149796653;0.154389062995311;-0.000496076980913146;-0.00581972338275639;0.59719262950479;0.190392407417477;0.052373379090561
Posterior parietal association areas (L);0.0789504219419161;0.10621084365549;0.318276017261152;0.353365138758489;1;0.323003443795186;-0.205667629370863;-0.0229698815526741;-0.100443885936577;-0.0544074732423542;0.0291837846844103;0.110253748274632;0.486217672338108;0.205462888808273;0.0763083805739587;-0.0383594312509494;0.116807442644662;0.0394970770183375;0.092344823238236;-0.020041643406612;-0.188897948049411;-0.0385881725533388;0.161457688429853;0.351534927153093;0.0130433763907878;0.0604498492152927
Posterior parietal association areas (R);0.16804874939553;0.351973620466763;0.357813029789907;0.888038457938342;0.323003443795186;1;0.152215413437172;0.0823124058309637;0.0748805122870921;-0.0999677396366169;-0.00317217836566877;0.322908508783479;0.179356224887861;0.402534910686816;0.0627079446675879;0.0146026670060923;0.136394342889136;-0.0600933361754201;0.135554123517471;-0.0903924606140827;0.1328927544607;0.0421557968645972;0.0870007444491537;0.557660180098783;0.27715678067672;0.0777390571210578
Auditory areas (L);0.548519906359647;0.653768437545605;0.436162803547584;0.0966803785106771;-0.205667629370863;0.152215413437172;1;0.561983681900886;0.391872591107777;0.471412988647645;0.236676953395459;0.489756903310231;0.00734880289238956;0.371294518483561;0.479891650076286;0.476723597593345;0.387665338900845;0.296197529467225;0.588882505829478;0.483777415822072;0.433588021979076;0.600763369737313;0.267159295839654;0.287574029360533;0.349235103882378;0.327330775495654
Auditory areas (R);0.726152895913085;0.633784989060335;0.648066704952005;0.0524123113445787;-0.0229698815526741;0.0823124058309637;0.561983681900886;1;0.219341831939112;0.572887441253036;0.239420855502882;0.545668374370342;0.321214347442445;0.366535108818933;0.620741145005688;0.476044914730105;0.56482227617603;0.375993382559137;0.651826492378227;0.61818597154324;0.157399974331818;0.617105463673763;0.320221642509773;0.21969025642924;0.266757977568497;0.336001168708185
Temporal association areas (L);0.241195298740184;0.25664795737308;0.225554584645375;0.0866812814148046;-0.100443885936577;0.0748805122870921;0.391872591107777;0.219341831939112;1;0.305359354680259;-0.0152200681731574;0.234382420781211;0.0273014554138526;0.262031727319923;0.233216347635911;0.156035040829888;0.169115870093158;0.132604674956198;0.33799924118111;0.164440188752406;0.125677218566839;0.257435101121673;-0.0185300706129058;0.126558561190128;0.0907304576243341;0.279247610696755
Temporal association areas (R);0.497794183134768;0.506431258167146;0.399861958232187;-0.154495184715876;-0.0544074732423542;-0.0999677396366169;0.471412988647645;0.572887441253036;0.305359354680259;1;0.100901954064425;0.450167753204779;0.0634225621936413;0.304144867973632;0.601306534856271;0.513831943873417;0.530356150501067;0.487893641223289;0.584127966303325;0.600057117452234;0.138859444389028;0.596086533747455;0.270371072024981;0.079923109485173;0.294570536536847;0.318420055867737
Entorhinal area (L);0.117304967347267;0.246007245745738;0.195015282454271;-0.0242366406139418;0.0291837846844103;-0.00317217836566877;0.236676953395459;0.239420855502882;-0.0152200681731574;0.100901954064425;1;0.066699655312265;0.0699036602386745;0.0449863774262985;0.209476472275855;0.141634056111571;0.0980978217177184;0.0239395034584054;0.242073509243306;0.164364546388981;0.306779225145984;0.166415958504015;0.184951417963643;0.171907812354253;0.0266011279456551;0.124711045374721
Entorhinal area (R);0.674101811822277;0.652827070069148;0.564641483872835;0.314656806978208;0.110253748274632;0.322908508783479;0.489756903310231;0.545668374370342;0.234382420781211;0.450167753204779;0.066699655312265;1;0.342734227209974;0.473262428418323;0.588924717011943;0.57837380106326;0.649591006997756;0.481399287740373;0.6645061330274;0.539590344538005;0.127536127366205;0.589001337750805;0.19692562836073;0.400721916829685;0.365815848827243;0.323178931829427
Olfactory areas (L);0.443569633189251;0.327688846257914;0.505452831114266;0.248551993762192;0.486217672338108;0.179356224887861;0.00734880289238956;0.321214347442445;0.0273014554138526;0.0634225621936413;0.0699036602386745;0.342734227209974;1;0.312511002481013;0.326630771676332;0.262500004795041;0.375878527177771;0.333044331836379;0.318433227484407;0.323655701649453;-0.211984023418738;0.171060255041587;0.192224873602277;0.172372930681873;0.0994706319449743;0.178582020627023
Olfactory areas (R);0.445214271379418;0.591950316081157;0.519702678057181;0.38724631945491;0.205462888808273;0.402534910686816;0.371294518483561;0.366535108818933;0.262031727319923;0.304144867973632;0.0449863774262985;0.473262428418323;0.312511002481013;1;0.427238905261088;0.319037321528438;0.481026522671994;0.354065467741793;0.439287944136428;0.307287740949741;0.289648187103971;0.389347713089028;0.214158701536502;0.491974057367264;0.355662246933081;0.41933898035757
Dentate gyrus (L);0.640348497523008;0.678985765589123;0.418044508459668;-0.0140854512434887;0.0763083805739587;0.0627079446675879;0.479891650076286;0.620741145005688;0.233216347635911;0.601306534856271;0.209476472275855;0.588924717011943;0.326630771676332;0.427238905261088;1;0.692683027613759;0.748403032888061;0.663801088707177;0.711754847848009;0.763076306491769;0.109310510236184;0.689951523639127;0.343492445910071;0.267877283891971;0.427000651867096;0.455306280708426
Dentate gyrus (R);0.542569368001836;0.668755917718626;0.322630434199654;-0.0316194971027011;-0.0383594312509494;0.0146026670060923;0.476723597593345;0.476044914730105;0.156035040829888;0.513831943873417;0.141634056111571;0.57837380106326;0.262500004795041;0.319037321528438;0.692683027613759;1;0.665004932251323;0.797666556977262;0.633788224127062;0.88578989601148;0.114409736243479;0.721128888892969;0.287342155947633;0.188258546242563;0.411141804590381;0.448246924948647
Subiculum (L);0.685722916421768;0.72721227268708;0.475867187110717;0.125835471481505;0.116807442644662;0.136394342889136;0.387665338900845;0.56482227617603;0.169115870093158;0.530356150501067;0.0980978217177184;0.649591006997756;0.375878527177771;0.481026522671994;0.748403032888061;0.665004932251323;1;0.668218370191299;0.669671991931278;0.716956077910828;0.195069854892102;0.686815014359259;0.437103020582809;0.3380292487415;0.451562425372256;0.416255153977347
Subiculum (R);0.469918027349115;0.586100531696413;0.279294677888579;-0.0342227358488172;0.0394970770183375;-0.0600933361754201;0.296197529467225;0.375993382559137;0.132604674956198;0.487893641223289;0.0239395034584054;0.481399287740373;0.333044331836379;0.354065467741793;0.663801088707177;0.797666556977262;0.668218370191299;1;0.47897547674408;0.775496054152037;0.0268267582849916;0.676588869692904;0.257021787652738;0.228399150013392;0.390792172027524;0.390943796541644
Dorsal hippocampus (L);0.730453222495673;0.728465047755117;0.618575077426378;0.103072074505841;0.092344823238236;0.135554123517471;0.588882505829478;0.651826492378227;0.33799924118111;0.584127966303325;0.242073509243306;0.6645061330274;0.318433227484407;0.439287944136428;0.711754847848009;0.633788224127062;0.669671991931278;0.47897547674408;1;0.711422955906974;0.192361106892124;0.670690895961767;0.324740554423806;0.279463794779994;0.387239747734941;0.486227606847768
Dorsal hippocampus (R);0.637738809783561;0.694490970121252;0.412338021930574;-0.161174149796653;-0.020041643406612;-0.0903924606140827;0.483777415822072;0.61818597154324;0.164440188752406;0.600057117452234;0.164364546388981;0.539590344538005;0.323655701649453;0.307287740949741;0.763076306491769;0.88578989601148;0.716956077910828;0.775496054152037;0.711422955906974;1;0.0763937564548175;0.794788240094721;0.339466053165634;0.139545723405614;0.398731347033465;0.488091721788988
Ventral hippocampus (L);0.234980907597575;0.361506302085128;0.245416262575297;0.154389062995311;-0.188897948049411;0.1328927544607;0.433588021979076;0.157399974331818;0.125677218566839;0.138859444389028;0.306779225145984;0.127536127366205;-0.211984023418738;0.289648187103971;0.109310510236184;0.114409736243479;0.195069854892102;0.0268267582849916;0.192361106892124;0.0763937564548175;1;0.198103631766547;0.273939444450129;0.298711010458403;0.217110036989924;0.285785508472809
Ventral hippocampus (R);0.639733318582145;0.72871197255047;0.411597510796316;-0.000496076980913146;-0.0385881725533388;0.0421557968645972;0.600763369737313;0.617105463673763;0.257435101121673;0.596086533747455;0.166415958504015;0.589001337750805;0.171060255041587;0.389347713089028;0.689951523639127;0.721128888892969;0.686815014359259;0.676588869692904;0.670690895961767;0.794788240094721;0.198103631766547;1;0.304918915273799;0.296956674424623;0.426232894177726;0.459950970285916
