Matrix;Retrosplenial area (L);Retrosplenial area (R);Visual areas (L);Visual areas (R);Posterior parietal association areas (L);Posterior parietal association areas (R);Auditory areas (L);Auditory areas (R);Temporal association areas (L);Temporal association areas (R);Entorhinal area (L);Entorhinal area (R);Olfactory areas (L);Olfactory areas (R);Dentate gyrus (L);Dentate gyrus (R);Subiculum (L);Subiculum (R);Dorsal hippocampus (L);Dorsal hippocampus (R);Ventral hippocampus (L);Ventral hippocampus (R);Substantia nigra, reticular part (L);Substantia nigra, reticular part (R);Substantia nigra, compact part (L);Substantia nigra, compact part (R)
Retrosplenial area (L);1;0.974248050938037;0.965779439186814;-0.0190829415329544;0.961946005842737;0.722317144463047;0.977401933056367;0.950420095611348;0.570733618466021;0.755301023708172;0.8364502694538;0.910468011017108;0.873011579713084;0.734738964620462;0.960012342070579;0.95108181749924;0.969175970602391;0.92423846913493;0.981558523590634;0.967906157319395;0.770859810881595;0.858283560411312;0.537292087204296;0.60580395083392;0.410766065474525;-0.0855323358843339
Retrosplenial area (R);0.974248050938037;1;0.933539427028381;0.00727043153487038;0.942871120089642;0.709256339437932;0.962000525403572;0.930543222484827;0.555788733305021;0.747291460876822;0.851504529159917;0.904928734894566;0.870046518279893;0.734835897330828;0.942053238195376;0.935173576135044;0.946872375068052;0.908161287032116;0.964143166314093;0.9473171607304;0.765477398385573;0.841484059960377;0.542594071282333;0.663792571935617;0.381456491189954;-0.0549921450185422
Visual areas (L);0.965779439186814;0.933539427028381;1;-0.0731245001441505;0.91951443257855;0.705439359580104;0.929848284252148;0.885115357685831;0.522722418744625;0.715375862703672;0.774182776981899;0.88055775103484;0.798656211881309;0.657420716291348;0.88367874626462;0.869336856447936;0.907152944474728;0.864855757409679;0.945289591903261;0.907353950811599;0.680179395519691;0.785329110971226;0.467327458767114;0.516081633018287;0.42570480094069;-0.20944476976041
Visual areas (R);-0.0190829415329544;0.00727043153487038;-0.0731245001441505;1;-0.0516298711872262;0.401329724053325;0.0337892185409283;0.0646996453796879;0.0083400471024162;0.186026015644842;0.140833135766582;0.0304484429817708;0.068890090562008;0.191428412766199;0.0721306857405722;0.0647442118230542;0.0440660925765232;0.0637636647725769;0.0298557350857388;0.0835804646154315;0.24835993395832;0.162730905058866;0.254800958028149;0.206713349193048;0.120281090305768;0.117495786660942
Posterior parietal association areas (L);0.961946005842737;0.942871120089642;0.91951443257855;-0.0516298711872262;1;0.682315589818138;0.957871846467826;0.927858473260311;0.571236902377473;0.74740839330209;0.793146308555849;0.889467636387341;0.833544986149227;0.706546578056314;0.927661263182761;0.911546001353936;0.935775467776252;0.869459185036052;0.926061789465857;0.923758190062135;0.706221620550648;0.788194326809981;0.462850735077947;0.578236105083035;0.359443197487063;-0.0606553160250868
Posterior parietal association areas (R);0.722317144463047;0.709256339437932;0.705439359580104;0.401329724053325;0.682315589818138;1;0.739704596092264;0.726562106908668;0.509055688885458;0.647640383036293;0.701732506127515;0.668262167841678;0.679430348542696;0.619509520943796;0.696278452332294;0.679827534425924;0.695640951697336;0.659620084995478;0.729990567953116;0.714699390727381;0.655199214705272;0.717846764948116;0.507048626852916;0.449016916671708;0.357543745418294;-0.0738761299274673
Auditory areas (L);0.977401933056367;0.962000525403572;0.929848284252148;0.0337892185409283;0.957871846467826;0.739704596092264;1;0.964208722608358;0.560435244509753;0.766395552897904;0.855210493564513;0.91031541938893;0.886354378483254;0.763781515448547;0.957152849225047;0.940177897561798;0.952093403414101;0.896426146264284;0.964473383355525;0.952207563102786;0.780972106893759;0.862340724953297;0.562792929437168;0.6580923733164;0.385515149950428;-0.0412778117657447
Auditory areas (R);0.950420095611348;0.930543222484827;0.885115357685831;0.0646996453796879;0.927858473260311;0.726562106908668;0.964208722608358;1;0.592168012458708;0.790249004238629;0.84459756456147;0.875277272834925;0.87934566011422;0.798144079896467;0.955747255749806;0.931567137858093;0.941915351654353;0.876808561282615;0.945954836247067;0.932259785493656;0.813000558570552;0.878966348310078;0.593955060902148;0.680077620731498;0.446443322006501;0.0351595507365598
Temporal association areas (L);0.570733618466021;0.555788733305021;0.522722418744625;0.0083400471024162;0.571236902377473;0.509055688885458;0.560435244509753;0.592168012458708;1;0.528241142040378;0.458911448511894;0.550835252408279;0.591271506779522;0.436733734972321;0.560701984289588;0.53930701715634;0.550184803416766;0.47496413773536;0.5633734527716;0.539768707631023;0.471667104852174;0.520373971165047;0.314718156384284;0.400424514146581;0.377184038537766;-0.0711830396153524
Temporal association areas (R);0.755301023708172;0.747291460876822;0.715375862703672;0.186026015644842;0.74740839330209;0.647640383036293;0.766395552897904;0.790249004238629;0.528241142040378;1;0.672435960047644;0.685838002645627;0.725238675206883;0.670249776338324;0.773284389694507;0.759537071039706;0.770718654940153;0.710920970919357;0.761977074171812;0.760039273119188;0.682071954697872;0.708877357714337;0.521981683744136;0.612753558382811;0.392329684197198;-0.0311172816270972
