Matrix;Retrosplenial area (L);Retrosplenial area (R);Visual areas (L);Visual areas (R);Posterior parietal association areas (L);Posterior parietal association areas (R);Auditory areas (L);Auditory areas (R);Temporal association areas (L);Temporal association areas (R);Entorhinal area (L);Entorhinal area (R);Olfactory areas (L);Olfactory areas (R);Dentate gyrus (L);Dentate gyrus (R);Subiculum (L);Subiculum (R);Dorsal hippocampus (L);Dorsal hippocampus (R);Ventral hippocampus (L);Ventral hippocampus (R);Substantia nigra, reticular part (L);Substantia nigra, reticular part (R);Substantia nigra, compact part (L);Substantia nigra, compact part (R)
Retrosplenial area (L);1;0.898191323996956;0.909214550970413;0.892543060956284;;;0.437777790986881;0.281256196599419;0.253598292657642;0.290035670860144;0.284195633098836;0.21066847623005;0.1977867992767;0.25773856400848;0.602971767468364;0.586374933123252;0.696197143123131;0.691023959448082;0.62092534501881;0.80006609723864;0.410164066703087;0.399866126285032;0.0212327255614246;-0.0879697425595068;0.0952255629310992;0.113653021780717
Retrosplenial area (R);0.898191323996956;1;0.916413989003734;0.858195281665844;;;0.424190668759455;0.236904770704791;0.224999761579488;0.225248500226551;0.211502359317573;0.293212133113826;0.144620000118787;0.260536281706548;0.545828511343648;0.49711528112892;0.627417348244762;0.727004775507579;0.588260832461692;0.767540424125142;0.421096422971289;0.386191525010245;-0.0165371778113501;-0.0610728474349548;0.0735819337682927;0.0991182654068094
Visual areas (L);0.909214550970413;0.916413989003734;1;0.908475964811123;;;0.455254340361389;0.298373994905595;0.239035407383615;0.274943644483156;0.194731963731681;0.308514926625522;0.159962379586776;0.277928335697591;0.616010232263803;0.583633241391004;0.690962534916193;0.709223237264636;0.676363948614705;0.817411725835084;0.420107798825765;0.370911985224905;0.0164527215033932;-0.102779972381567;0.0691722451673723;0.11214379654775
Visual areas (R);0.892543060956284;0.858195281665844;0.908475964811123;1;;;0.454138080252894;0.315158783313827;0.331669856820249;0.376246791705187;0.29460543554852;0.349087971747812;0.206311999543462;0.26049520873301;0.672384700399375;0.664728842610673;0.787538428637995;0.725543608122973;0.710787738994162;0.815575504582513;0.454710906168746;0.393453571809048;0.0870021188119536;-0.0545775260315736;0.105371597704609;0.0677053668477511
Posterior parietal association areas (L);;;;;;;;;;;;;;;;;;;;;;;;;;
Posterior parietal association areas (R);;;;;;;;;;;;;;;;;;;;;;;;;;
Auditory areas (L);0.437777790986881;0.424190668759455;0.455254340361389;0.454138080252894;;;1;0.281312974017381;0.355076702446211;0.216912995732151;0.242406545254986;0.210464222087564;0.14452160217003;0.0938443948427232;0.490635582156892;0.444362893077735;0.471518910023621;0.43642095889162;0.548564208118364;0.448787248009875;0.369494595859797;0.276954148196898;0.109583860885344;-0.149197589995717;0.089788654221818;0.202038907170762
Auditory areas (R);0.281256196599419;0.236904770704791;0.298373994905595;0.315158783313827;;;0.281312974017381;1;0.315619666106119;0.31058598261414;0.234604175521795;0.108621442484174;0.0371055221323258;0.0235269715876325;0.331660202450363;0.426833945233399;0.251330416806685;0.39703834488891;0.264928158978094;0.370278873491895;0.194853849149666;0.304329825327042;0.216532557465657;0.130361962115341;0.0855863431323428;0.192356405196257
Temporal association areas (L);0.253598292657642;0.224999761579488;0.239035407383615;0.331669856820249;;;0.355076702446211;0.315619666106119;1;0.12451354257397;0.301415545484505;0.140234899556191;0.0815055237252026;0.23604323825158;0.476408225476501;0.416917126221447;0.362828297775818;0.328151950815156;0.331065283367401;0.310155114178767;0.294184847636632;0.0889084107720905;0.127790377113062;0.098805009399202;0.0554687744846231;-0.104121042083622
Temporal association areas (R);0.290035670860144;0.225248500226551;0.274943644483156;0.376246791705187;;;0.216912995732151;0.31058598261414;0.12451354257397;1;0.17454783596091;0.0713985084066392;0.113047233111484;0.00966812995508411;0.220300382956803;0.241779957588802;0.311358785437411;0.339902148499788;0.270158696161812;0.357553784512386;0.264939126670943;0.146854529150312;-0.023403017471268;-0.0195334521385715;0.0573831117566581;0.122201088730448
Entorhinal area (L);0.284195633098836;0.211502359317573;0.194731963731681;0.29460543554852;;;0.242406545254986;0.234604175521795;0.301415545484505;0.17454783596091;1;0.270377529285516;0.201882828344257;0.189401075811458;0.369849582659636;0.337484200810984;0.248237390678333;0.322072719077287;0.36027328474167;0.341114740335897;0.300428588373559;0.266271691578461;0.218755567839685;0.0986041806330387;0.102746073565364;0.0487016272626101
Entorhinal area (R);0.21066847623005;0.293212133113826;0.308514926625522;0.349087971747812;;;0.210464222087564;0.108621442484174;0.140234899556191;0.0713985084066392;0.270377529285516;1;0.145173611403771;0.253007262548501;0.356198274116043;0.303864469201111;0.300094679613009;0.364957863110646;0.458192362255058;0.422569060328555;0.234842636198836;0.282576341920379;0.287663053471015;0.14399235949941;0.023816674991993;0.0791201077413555
