Matrix;Retrosplenial area (L);Retrosplenial area (R);Visual areas (L);Visual areas (R);Posterior parietal association areas (L);Posterior parietal association areas (R);Auditory areas (L);Auditory areas (R);Temporal association areas (L);Temporal association areas (R);Entorhinal area (L);Entorhinal area (R);Olfactory areas (L);Olfactory areas (R);Dentate gyrus (L);Dentate gyrus (R);Subiculum (L);Subiculum (R);Dorsal hippocampus (L);Dorsal hippocampus (R);Ventral hippocampus (L);Ventral hippocampus (R);Substantia nigra, reticular part (L);Substantia nigra, reticular part (R);Substantia nigra, compact part (L);Substantia nigra, compact part (R)
Retrosplenial area (L);1;0.726171209603426;0.670820202388849;0.267796558455801;;;0.572321113373181;0.625001806147472;0.593591563989009;0.643662094779529;0.382383524469349;0.446430360347969;0.589290866552443;0.519214701864139;0.833874988727701;0.902869762027965;0.798127058756691;0.85178378528523;0.76859252187757;0.819556333594781;0.700117075397972;0.797904338786357;0.733735366113028;0.628394959270908;0.418283806344692;0.118580700045275
Retrosplenial area (R);0.726171209603426;1;0.461064085839601;0.254147347657704;;;0.371513750303145;0.391306718646589;0.453111620484432;0.464695548558049;0.279253924306031;0.416442981063499;0.45996005344547;0.433567991217074;0.618346416195115;0.715064714323478;0.600915629392052;0.674520643998231;0.570000227179655;0.594260952845479;0.534070377195805;0.572615836913866;0.579722035952981;0.451256457179615;0.313881195750253;0.119222176697333
Visual areas (L);0.670820202388849;0.461064085839601;1;0.0556421315279668;;;0.585669232653379;0.75673299174365;0.677633931331922;0.786543928355869;0.506741850083305;0.597220296116989;0.745146842566399;0.768128305010436;0.802373874439862;0.637495763066138;0.758797188822722;0.502484892109759;0.856146974611706;0.664446846585057;0.8600209990448;0.732997519263438;0.86395871458982;0.779619731119507;0.522246793933764;0.176582679946761
Visual areas (R);0.267796558455801;0.254147347657704;0.0556421315279668;1;;;0.152211551066728;0.116508277812418;0.144653992167872;0.0237264947225031;-0.0280037341577336;0.0201214165930331;0.00319792756312824;0.0911424512949843;0.0990612825268343;0.174577615711924;0.113307193034779;0.162362549595458;0.094622424475523;0.157723557829441;0.0842773381762041;0.108543059782864;0.0823849159368911;0.097848835672604;0.0608877729322861;-0.0422868982561015
Posterior parietal association areas (L);;;;;;;;;;;;;;;;;;;;;;;;;;
Posterior parietal association areas (R);;;;;;;;;;;;;;;;;;;;;;;;;;
Auditory areas (L);0.572321113373181;0.371513750303145;0.585669232653379;0.152211551066728;;;1;0.577488170034477;0.43685806067956;0.559267566405689;0.376562282133901;0.408474391116923;0.483877789483253;0.579361206879169;0.626279043904949;0.52533442006059;0.604289021630769;0.446875956029016;0.614583822594857;0.498956663153784;0.602473487218723;0.622798761113975;0.624083076851808;0.569303476340917;0.432605042664628;0.0289497849780049
Auditory areas (R);0.625001806147472;0.391306718646589;0.75673299174365;0.116508277812418;;;0.577488170034477;1;0.679989017224095;0.699050012467624;0.503134503200374;0.503224373510067;0.598725180747013;0.675011846031004;0.685638361505495;0.605707008329415;0.69467171994392;0.49077857093881;0.778853915188151;0.678652053551757;0.740106874843635;0.690409489666794;0.729287448306747;0.69592338952177;0.447889617739846;0.197656967020249
Temporal association areas (L);0.593591563989009;0.453111620484432;0.677633931331922;0.144653992167872;;;0.43685806067956;0.679989017224095;1;0.541650737089836;0.412788869273169;0.552196054043915;0.556352230104808;0.681680786570018;0.68402914865496;0.580538688241797;0.64941164545591;0.447767895194234;0.772865824915323;0.552627392967832;0.730252069524982;0.694306028176927;0.696621256981295;0.760331758883722;0.404969321445071;0.139851545004413
Temporal association areas (R);0.643662094779529;0.464695548558049;0.786543928355869;0.0237264947225031;;;0.559267566405689;0.699050012467624;0.541650737089836;1;0.412944710809654;0.529977779335116;0.555118096043243;0.594925020616524;0.681184414150331;0.589022175765184;0.692128657286838;0.481326503603985;0.735270153610463;0.644502069965846;0.691035909159366;0.61405434121335;0.745927879286908;0.619378636100235;0.437259027003837;0.12487340564207
