Matrix;Retrosplenial area (L);Retrosplenial area (R);Visual areas (L);Visual areas (R);Posterior parietal association areas (L);Posterior parietal association areas (R);Auditory areas (L);Auditory areas (R);Temporal association areas (L);Temporal association areas (R);Entorhinal area (L);Entorhinal area (R);Olfactory areas (L);Olfactory areas (R);Dentate gyrus (L);Dentate gyrus (R);Subiculum (L);Subiculum (R);Dorsal hippocampus (L);Dorsal hippocampus (R);Ventral hippocampus (L);Ventral hippocampus (R);Substantia nigra, reticular part (L);Substantia nigra, reticular part (R);Substantia nigra, compact part (L);Substantia nigra, compact part (R)
Retrosplenial area (L);1;0.987885942202562;0.984206049477486;0.974159315552986;;;0.858762929254306;0.92961549779201;0.908323832155298;0.906865851992315;0.78292242628286;0.828916747353882;0.929933728641877;0.877247455397533;0.957184181618291;0.975625966174758;0.978023691775591;0.971592880357812;0.98066166677477;0.97898588185658;0.957837457310588;0.958330645570768;0.948449291937669;0.964660470686916;0.921702536867391;0.753140529614693
Retrosplenial area (R);0.987885942202562;1;0.980582060062462;0.971972526192137;;;0.868532274309813;0.922955895123347;0.899692999894765;0.908163038297164;0.771703196897858;0.827374154871067;0.930764009418437;0.888810378310522;0.954925563660838;0.974641821799985;0.980038161425012;0.976248857376427;0.981783522273358;0.978353509285262;0.957487559121598;0.948547537376047;0.950868077327841;0.964458607424195;0.929844102283474;0.745668400063481
Visual areas (L);0.984206049477486;0.980582060062462;1;0.967280565581808;;;0.856076896419495;0.939359018354558;0.911403238585869;0.917048907567517;0.788122312126621;0.827711831147668;0.935620882994315;0.884429679151208;0.952725825170222;0.975807456568395;0.983284603716294;0.979129067027249;0.978499854755787;0.973913068096703;0.958525833055439;0.956092053246668;0.94653925161792;0.959604225901673;0.93151252496183;0.748454227990954
Visual areas (R);0.974159315552986;0.971972526192137;0.967280565581808;1;;;0.840814099771676;0.915629706994026;0.881886851327015;0.914023037338962;0.76441510016207;0.821643787852396;0.896555814396647;0.861524817084737;0.933642018262506;0.951750920422343;0.960011700640263;0.954569464899777;0.960499199397677;0.960434149775537;0.943875431974623;0.93000741857513;0.923665439121188;0.942169248241599;0.904471171202118;0.745186050022934
Posterior parietal association areas (L);;;;;;;;;;;;;;;;;;;;;;;;;;
Posterior parietal association areas (R);;;;;;;;;;;;;;;;;;;;;;;;;;
Auditory areas (L);0.858762929254306;0.868532274309813;0.856076896419495;0.840814099771676;;;1;0.836435256844211;0.768981702387104;0.858260615530763;0.728307680903513;0.740161068628304;0.824237190806967;0.840657504852116;0.860507576075678;0.885486040664763;0.853887420408225;0.840732016695795;0.87826428611387;0.868404570094377;0.864788555501177;0.858979131569366;0.852683001903201;0.872785009574679;0.82499071481206;0.695264810792495
Auditory areas (R);0.92961549779201;0.922955895123347;0.939359018354558;0.915629706994026;;;0.836435256844211;1;0.883762355805901;0.916912491196636;0.787855380394836;0.81595224451216;0.907834922019884;0.879596927942716;0.941613733004818;0.949381884280642;0.934039913817058;0.918932259672133;0.945200765868594;0.935549143048876;0.947376224124734;0.937677574970957;0.923525133993486;0.928881112894643;0.892578158680191;0.733510149777737
Temporal association areas (L);0.908323832155298;0.899692999894765;0.911403238585869;0.881886851327015;;;0.768981702387104;0.883762355805901;1;0.8633669231941;0.770726137485588;0.773146009396609;0.883835829946427;0.825705463559577;0.895370993620428;0.904902550408467;0.905638049892538;0.896420181273109;0.907817187602803;0.893137196806333;0.897371100714598;0.899028910569364;0.895518102127147;0.872810348312404;0.872379015800311;0.707166576880207
Temporal association areas (R);0.906865851992315;0.908163038297164;0.917048907567517;0.914023037338962;;;0.858260615530763;0.916912491196636;0.8633669231941;0.999999999999999;0.783252620710431;0.808842337302416;0.895207390634249;0.8790542743784;0.931516733831128;0.9293487340845;0.912635355877759;0.890567508299651;0.917432913663343;0.917123128557345;0.921388009411618;0.916179408491166;0.894470277349406;0.908395926806449;0.875080332822232;0.714778501998449
Entorhinal area (L);0.78292242628286;0.771703196897858;0.788122312126621;0.76441510016207;;;0.728307680903513;0.787855380394836;0.770726137485588;0.783252620710431;1;0.66382218613201;0.754025479797806;0.767033532275111;0.776874018089813;0.798249991534742;0.77711812381297;0.782476529732212;0.797025918734396;0.790522257267773;0.787901990037841;0.791957816616595;0.790155007117654;0.784669218086804;0.78184540828953;0.626891876705205
Entorhinal area (R);0.828916747353882;0.827374154871067;0.827711831147668;0.821643787852396;;;0.740161068628304;0.81595224451216;0.773146009396609;0.808842337302416;0.66382218613201;1;0.815077790023624;0.773848758779474;0.848120490611115;0.829440620859957;0.835283668081649;0.824646955856766;0.838481587518292;0.825089124540041;0.849864686264991;0.823606311372225;0.818767551192536;0.849050572051084;0.777390067017054;0.697046289458625
Olfactory areas (L);0.929933728641877;0.930764009418437;0.935620882994315;0.896555814396647;;;0.824237190806967;0.907834922019884;0.883835829946427;0.895207390634249;0.754025479797806;0.815077790023624;1;0.902660991738697;0.964463811698311;0.948591638302114;0.94815016544239;0.931193311576085;0.948952290111537;0.936446283383002;0.960648427530163;0.939377120945174;0.956880826335454;0.947681288548155;0.908636986284115;0.750066779640014
Olfactory areas (R);0.877247455397533;0.888810378310522;0.884429679151208;0.861524817084737;;;0.840657504852116;0.879596927942716;0.825705463559577;0.8790542743784;0.767033532275111;0.773848758779474;0.902660991738697;1;0.921422737106493;0.914784367918442;0.892716466220961;0.873844031016186;0.907819774708386;0.895527660047309;0.914347040346446;0.898719137949586;0.925101388166252;0.902417633206262;0.86764049738064;0.691309042621841
Dentate gyrus (L);0.957184181618291;0.954925563660838;0.952725825170222;0.933642018262506;;;0.860507576075678;0.941613733004818;0.895370993620428;0.931516733831128;0.776874018089813;0.848120490611115;0.964463811698311;0.921422737106493;1;0.97631958111699;0.964226034883469;0.939732983719886;0.969423766875672;0.964965114661708;0.982223137035208;0.964306212492083;0.979055885810718;0.965941117131806;0.905580139738341;0.770261258240147
Dentate gyrus (R);0.975625966174758;0.974641821799985;0.975807456568395;0.951750920422343;;;0.885486040664763;0.949381884280642;0.904902550408467;0.9293487340845;0.798249991534742;0.829440620859957;0.948591638302114;0.914784367918442;0.97631958111699;1;0.976848122962446;0.963636691697329;0.98022195728437;0.980469030283678;0.975629531873521;0.969600171483946;0.97032592110544;0.977230885109277;0.932027146701646;0.752957362020757
Subiculum (L);0.978023691775591;0.980038161425012;0.983284603716294;0.960011700640263;;;0.853887420408225;0.934039913817058;0.905638049892538;0.912635355877759;0.77711812381297;0.835283668081649;0.94815016544239;0.892716466220961;0.964226034883469;0.976848122962446;0.999999999999999;0.98051243764205;0.982794361376619;0.979114674771132;0.970532281306976;0.958694313155396;0.957542238801262;0.967123893791695;0.930363273212465;0.761241911298856
Subiculum (R);0.971592880357812;0.976248857376427;0.979129067027249;0.954569464899777;;;0.840732016695795;0.918932259672133;0.896420181273109;0.890567508299651;0.782476529732212;0.824646955856766;0.931193311576085;0.873844031016186;0.939732983719886;0.963636691697329;0.98051243764205;1;0.975895440008354;0.970271359354988;0.95704062936979;0.947036941091139;0.948960504103066;0.959817645204545;0.926573324688958;0.740181510562501
Dorsal hippocampus (L);0.98066166677477;0.981783522273358;0.978499854755787;0.960499199397677;;;0.87826428611387;0.945200765868594;0.907817187602803;0.917432913663343;0.797025918734396;0.838481587518292;0.948952290111537;0.907819774708386;0.969423766875672;0.98022195728437;0.982794361376619;0.975895440008354;1;0.978449683677734;0.975144995358794;0.966998659749332;0.963995368000551;0.973202995032868;0.935082520370612;0.770957879581415
Dorsal hippocampus (R);0.97898588185658;0.978353509285262;0.973913068096703;0.960434149775537;;;0.868404570094377;0.935549143048876;0.893137196806333;0.917123128557345;0.790522257267773;0.825089124540041;0.936446283383002;0.895527660047309;0.964965114661708;0.980469030283678;0.979114674771132;0.970271359354988;0.978449683677734;1;0.969680372970212;0.95910326383913;0.958353851187789;0.969099309710864;0.91913611082405;0.75872587258264
Ventral hippocampus (L);0.957837457310588;0.957487559121598;0.958525833055439;0.943875431974623;;;0.864788555501177;0.947376224124734;0.897371100714598;0.921388009411618;0.787901990037841;0.849864686264991;0.960648427530163;0.914347040346446;0.982223137035208;0.975629531873521;0.970532281306976;0.95704062936979;0.975144995358794;0.969680372970212;1;0.967216566920349;0.978874725192581;0.969857217361502;0.927378021029625;0.787480493779249
Ventral hippocampus (R);0.958330645570768;0.948547537376047;0.956092053246668;0.93000741857513;;;0.858979131569366;0.937677574970957;0.899028910569364;0.916179408491166;0.791957816616595;0.823606311372225;0.939377120945174;0.898719137949586;0.964306212492083;0.969600171483946;0.958694313155396;0.947036941091139;0.966998659749332;0.95910326383913;0.967216566920349;0.999999999999999;0.961207053908603;0.960413002021388;0.919963778118401;0.752093307955557
Substantia nigra, reticular part (L);0.948449291937669;0.950868077327841;0.94653925161792;0.923665439121188;;;0.852683001903201;0.923525133993486;0.895518102127147;0.894470277349406;0.790155007117654;0.818767551192536;0.956880826335454;0.925101388166252;0.979055885810718;0.97032592110544;0.957542238801262;0.948960504103066;0.963995368000551;0.958353851187789;0.978874725192581;0.961207053908603;1;0.961994981953664;0.920728523700648;0.767829202994008
Substantia nigra, reticular part (R);0.964660470686916;0.964458607424195;0.959604225901673;0.942169248241599;;;0.872785009574679;0.928881112894643;0.872810348312404;0.908395926806449;0.784669218086804;0.849050572051084;0.947681288548155;0.902417633206262;0.965941117131806;0.977230885109277;0.967123893791695;0.959817645204545;0.973202995032868;0.969099309710864;0.969857217361502;0.960413002021388;0.961994981953664;1;0.921477683332037;0.756775359560465
Substantia nigra, compact part (L);0.921702536867391;0.929844102283474;0.93151252496183;0.904471171202118;;;0.82499071481206;0.892578158680191;0.872379015800311;0.875080332822232;0.78184540828953;0.777390067017054;0.908636986284115;0.86764049738064;0.905580139738341;0.932027146701646;0.930363273212465;0.926573324688958;0.935082520370612;0.91913611082405;0.927378021029625;0.919963778118401;0.920728523700648;0.921477683332037;1;0.732330589497485
Substantia nigra, compact part (R);0.753140529614693;0.745668400063481;0.748454227990954;0.745186050022934;;;0.695264810792495;0.733510149777737;0.707166576880207;0.714778501998449;0.626891876705205;0.697046289458625;0.750066779640014;0.691309042621841;0.770261258240147;0.752957362020757;0.761241911298856;0.740181510562501;0.770957879581415;0.75872587258264;0.787480493779249;0.752093307955557;0.767829202994008;0.756775359560465;0.732330589497485;1
