Matrix;Retrosplenial area (L);Retrosplenial area (R);Visual areas (L);Visual areas (R);Posterior parietal association areas (L);Posterior parietal association areas (R);Auditory areas (L);Auditory areas (R);Temporal association areas (L);Temporal association areas (R);Entorhinal area (L);Entorhinal area (R);Olfactory areas (L);Olfactory areas (R);Dentate gyrus (L);Dentate gyrus (R);Subiculum (L);Subiculum (R);Dorsal hippocampus (L);Dorsal hippocampus (R);Ventral hippocampus (L);Ventral hippocampus (R);Substantia nigra, reticular part (L);Substantia nigra, reticular part (R);Substantia nigra, compact part (L);Substantia nigra, compact part (R)
Retrosplenial area (L);1;0.953317556363666;0.802929950180719;0.429001821200168;0.411070920480502;0.194681992247424;0.861616458406976;0.711721077038954;0.777949213532641;0.552394685607787;0.783273048163435;0.528983898328771;0.725205786855778;0.632502110730362;0.920029966983814;0.90470634082675;0.930232745133901;0.901669033131673;0.937665826695687;0.933331522012758;0.876765574992087;0.878688974353973;0.776270023406801;0.782397721829836;0.682105730211228;0.399412648879365
Retrosplenial area (R);0.953317556363666;1;0.841788624266263;0.483199284625799;0.487511613554565;0.282514816682496;0.888398290772151;0.712113236452318;0.771292316658354;0.580108440516879;0.772728326248705;0.484204307004353;0.756497517286817;0.636084892583133;0.900560198583152;0.892810107545892;0.917282117743624;0.915020365370352;0.932032264083951;0.902400270927399;0.891036271501378;0.870268960650602;0.765690563223512;0.771766500613462;0.655060749931301;0.353787447224919
Visual areas (L);0.802929950180719;0.841788624266263;1;0.483019496158163;0.746731260751366;0.345853509463368;0.847226157572275;0.589444434339999;0.703371167359861;0.451023424893238;0.710608973988683;0.429454771213917;0.703000623620849;0.664789853773846;0.76827966723908;0.744388442219249;0.753818883357691;0.774119496200175;0.843718527026986;0.750427014529179;0.860421071449301;0.733089574459024;0.732943897261607;0.727669945042204;0.651715834831654;0.302231436526046
Visual areas (R);0.429001821200168;0.483199284625799;0.483019496158163;1;0.365261716544791;0.887444944952628;0.366184074976169;0.236510338096264;0.367736271458201;0.0820133685734283;0.201476789095642;0.0910758685081748;0.298368160853998;0.206580041203802;0.439249111843791;0.41265160230763;0.430306500693141;0.502344872993126;0.427785542299106;0.26043966156455;0.386292045786877;0.397093658297424;0.348681938500645;0.485632640980924;0.327667437012323;0.0871759281688715
Posterior parietal association areas (L);0.411070920480502;0.487511613554565;0.746731260751366;0.365261716544791;1;0.352895797287144;0.532942257164244;0.216817098113023;0.398188609801684;0.236095203147022;0.355196021786282;0.175746670699718;0.436240664958288;0.463185975587112;0.402764038529982;0.346505417783821;0.363151636032387;0.432898678054883;0.483552742923336;0.360601197396255;0.565359227995693;0.367375441263553;0.415717883249679;0.397917024745883;0.335643631370839;0.0233764693612911
Posterior parietal association areas (R);0.194681992247424;0.282514816682496;0.345853509463368;0.887444944952628;0.352895797287144;1;0.18007228795941;0.0343521339003842;0.137536229537641;-0.0729755929601833;0.0182730595489409;-0.081143780364039;0.134498234654847;0.0382740852786694;0.199819605755836;0.212370893018403;0.211878337036949;0.307643176154516;0.219879790768793;0.0401395087506445;0.187965716411233;0.205090788305957;0.197452552404657;0.348587939230903;0.181680696043024;-0.0369633157467418
Auditory areas (L);0.861616458406976;0.888398290772151;0.847226157572275;0.366184074976169;0.532942257164244;0.18007228795941;1;0.787335412675407;0.830465710751457;0.65291858222813;0.829633630425744;0.549835142137377;0.787449451936067;0.71825592214697;0.842222741970207;0.866634153661458;0.852403221936245;0.823213032526575;0.886882826157915;0.889882971682372;0.928356502241538;0.863050277094137;0.849108575230724;0.803204379189892;0.726024942497926;0.401255559892672
Auditory areas (R);0.711721077038954;0.712113236452318;0.589444434339999;0.236510338096264;0.216817098113023;0.0343521339003842;0.787335412675407;0.999999999999999;0.741241139289258;0.676085426002093;0.761511667219663;0.558250707492093;0.673605435674221;0.583119636686335;0.762762124403739;0.803012206233633;0.776177332476236;0.681355940288935;0.780517823221557;0.802101173442514;0.75642167987263;0.750602854484507;0.753487888195706;0.724262289012912;0.716677315343569;0.51315117232067
Temporal association areas (L);0.777949213532641;0.771292316658354;0.703371167359861;0.367736271458201;0.398188609801684;0.137536229537641;0.830465710751457;0.741241139289258;1;0.569873698871775;0.818222316414315;0.538222512187007;0.729679885848845;0.704023896360566;0.78379397486804;0.771492794586225;0.805664282608304;0.72418153985173;0.84049426341953;0.783547782132265;0.841325412608229;0.795720896497089;0.733959545396258;0.760735200801345;0.629647405690111;0.40133195059303
Temporal association areas (R);0.552394685607787;0.580108440516879;0.451023424893238;0.0820133685734283;0.236095203147022;-0.0729755929601833;0.65291858222813;0.676085426002093;0.569873698871775;1;0.565300217844256;0.41457992339197;0.535151385007063;0.441833642366457;0.591855881354711;0.616205201033315;0.571398235616933;0.554943051020952;0.605975561511537;0.619644045271214;0.624897445506631;0.59928186860783;0.535982955176255;0.545668373560558;0.476400201161054;0.345008107114008
Entorhinal area (L);0.783273048163435;0.772728326248705;0.710608973988683;0.201476789095642;0.355196021786282;0.0182730595489409;0.829633630425744;0.761511667219663;0.818222316414315;0.565300217844256;1;0.651889391292406;0.782616564925557;0.726123505610499;0.789687020481348;0.819690686004054;0.77680789849336;0.753827829532799;0.847017773160757;0.855607167696173;0.868797626442085;0.785911558597065;0.782391506380457;0.741707083728731;0.696416802009781;0.472814140658739
Entorhinal area (R);0.528983898328771;0.484204307004353;0.429454771213917;0.0910758685081748;0.175746670699718;-0.081143780364039;0.549835142137377;0.558250707492093;0.538222512187007;0.41457992339197;0.651889391292406;1;0.482579141511006;0.483056564031894;0.642170989655257;0.665593477977336;0.530493100892601;0.524626174117384;0.601831730867122;0.60279558723224;0.573610449495397;0.511961109777309;0.56617754851122;0.569669746736028;0.62174297091127;0.504464261713249
Olfactory areas (L);0.725205786855778;0.756497517286817;0.703000623620849;0.298368160853998;0.436240664958288;0.134498234654847;0.787449451936067;0.673605435674221;0.729679885848845;0.535151385007063;0.782616564925557;0.482579141511006;1;0.625661139591221;0.74510603395595;0.725482188171412;0.715162037302658;0.744043155476191;0.757225112695556;0.747166596112073;0.771704643711579;0.756029342136531;0.698322846382108;0.649531199187671;0.527015982285186;0.301682249684172
Olfactory areas (R);0.632502110730362;0.636084892583133;0.664789853773846;0.206580041203802;0.463185975587112;0.0382740852786694;0.71825592214697;0.583119636686335;0.704023896360566;0.441833642366457;0.726123505610499;0.483056564031894;0.625661139591221;1;0.641676325612299;0.629297195097967;0.624023407531373;0.615279399231565;0.731932126230653;0.689826104943394;0.764655937774218;0.641595749749643;0.625189025327077;0.549275277155336;0.596693122336881;0.267002888180255
