Matrix;Retrosplenial area (L);Retrosplenial area (R);Visual areas (L);Visual areas (R);Posterior parietal association areas (L);Posterior parietal association areas (R);Auditory areas (L);Auditory areas (R);Temporal association areas (L);Temporal association areas (R);Entorhinal area (L);Entorhinal area (R);Olfactory areas (L);Olfactory areas (R);Dentate gyrus (L);Dentate gyrus (R);Subiculum (L);Subiculum (R);Dorsal hippocampus (L);Dorsal hippocampus (R);Ventral hippocampus (L);Ventral hippocampus (R);Substantia nigra, reticular part (L);Substantia nigra, reticular part (R);Substantia nigra, compact part (L);Substantia nigra, compact part (R)
Retrosplenial area (L);1;0.9796772311729;0.769487926532969;0.968269524671269;;;0.926077955378095;0.960063107768865;0.831158535100075;0.752697946667161;0.876453050587271;0.913118506288767;0.941225151541169;0.909198005565288;0.969219149754886;0.935150272708465;0.893202249455093;0.855994606059515;0.86829573481527;0.962902320337628;0.9260118255607;0.960922343093871;0.711939919976441;0.830519531274771;0.841345814929014;0.639725155520761
Retrosplenial area (R);0.9796772311729;1;0.781216722945288;0.956443344780376;;;0.925067836218503;0.956771673664876;0.820841567316464;0.750112997586582;0.850569507230517;0.88813255130133;0.931372119694484;0.909447790681284;0.955045045032083;0.925490771051358;0.867951127140617;0.84675439020033;0.866125909784224;0.951530047939051;0.909943951461759;0.940938758731381;0.715294774668905;0.83616849379607;0.822921430529287;0.619880500318562
Visual areas (L);0.769487926532969;0.781216722945288;1;0.835172239918822;;;0.877575257709987;0.783406890153157;0.71257978995923;0.573775650477858;0.545030979037826;0.644120812875901;0.710906716853731;0.748351092281841;0.694587996000358;0.702366652460915;0.514875916420578;0.63394398261688;0.968659614464466;0.718744399664727;0.654239816165146;0.703484291781023;0.551250826757419;0.68276121700839;0.608709498780017;0.393651619509473
Visual areas (R);0.968269524671269;0.956443344780376;0.835172239918822;1;;;0.963091264285357;0.970320827203093;0.83951138106189;0.756966849519586;0.858605704380678;0.894751373186604;0.932228068431947;0.916414028521627;0.939048168931986;0.908092727021663;0.833387344165079;0.797245128381574;0.898277513959047;0.941533660361204;0.89557491238915;0.941893244141613;0.667068368180048;0.806699233373559;0.824104748035221;0.578282568784928
Posterior parietal association areas (L);;;;;;;;;;;;;;;;;;;;;;;;;;
Posterior parietal association areas (R);;;;;;;;;;;;;;;;;;;;;;;;;;
Auditory areas (L);0.926077955378095;0.925067836218503;0.877575257709987;0.963091264285357;;;1;0.936694037132598;0.840893308386366;0.713497559907979;0.809595430238282;0.826555726930779;0.886527153242009;0.895731823602936;0.889853391443174;0.867048693289819;0.738290572748094;0.751918778090621;0.916090548055019;0.88950424487304;0.840582295393286;0.877424829838913;0.576802494550125;0.735689119122136;0.757256072636168;0.482360214910954
Auditory areas (R);0.960063107768865;0.956771673664876;0.783406890153157;0.970320827203093;;;0.936694037132598;0.999999999999999;0.823731910809418;0.752395300314981;0.864798749965932;0.892256661444112;0.923408153887219;0.905052272193342;0.940571355171727;0.900481779597232;0.845129960136132;0.80396290228999;0.857484496358169;0.927303783589029;0.888172981702883;0.936303027566498;0.660592154170939;0.79494421483093;0.802431431029421;0.5667420961377
Temporal association areas (L);0.831158535100075;0.820841567316464;0.71257978995923;0.83951138106189;;;0.840893308386366;0.823731910809418;0.999999999999999;0.630165642652728;0.775158556499955;0.794474147049125;0.782937369534363;0.772498918179669;0.828011389929465;0.796347252106911;0.703276791341939;0.726848581963423;0.78674895766519;0.818024226626086;0.798257721932614;0.824213327112568;0.576494143712951;0.691027046577409;0.742176563172805;0.534909360919194
Temporal association areas (R);0.752697946667161;0.750112997586582;0.573775650477858;0.756966849519586;;;0.713497559907979;0.752395300314981;0.630165642652728;0.999999999999999;0.725842983568268;0.733388294860165;0.761451500588339;0.748458795039145;0.753741462771143;0.754755298560227;0.673493317913389;0.69788206532245;0.635811853265263;0.769163039981959;0.726641982298641;0.75460572975109;0.511032654262204;0.618916097883974;0.67077705020633;0.505805779823716
