Matrix;Retrosplenial area (L);Retrosplenial area (R);Visual areas (L);Visual areas (R);Posterior parietal association areas (L);Posterior parietal association areas (R);Auditory areas (L);Auditory areas (R);Temporal association areas (L);Temporal association areas (R);Entorhinal area (L);Entorhinal area (R);Olfactory areas (L);Olfactory areas (R);Dentate gyrus (L);Dentate gyrus (R);Subiculum (L);Subiculum (R);Dorsal hippocampus (L);Dorsal hippocampus (R);Ventral hippocampus (L);Ventral hippocampus (R);Substantia nigra, reticular part (L);Substantia nigra, reticular part (R);Substantia nigra, compact part (L);Substantia nigra, compact part (R)
Retrosplenial area (L);1;0.699944044217821;0.869741701235769;0.936097327040147;;;;;0.768318089100437;0.752524188671382;0.803810286018044;0.558129958857876;0.876558140268051;0.166587443526185;0.92491214519877;0.697479599048709;0.88516505100984;0.750262025707971;0.712930241585719;0.583677183228661;0.768204590304221;0.44602479766225;0.403788265621059;0.211726566849458;0.454283248583048;0.050169636289684
Retrosplenial area (R);0.699944044217821;1;0.708774479584655;0.802781992255725;;;;;0.567066495985878;0.609778475916999;0.653477933365375;0.428159768293578;0.688167111355464;0.0652671963152366;0.630810950030072;0.538484017302984;0.619478920076271;0.479004079531349;0.612427079486739;0.478830764192366;0.579934935774719;0.287814437703408;0.282141966080877;0.199890233546971;0.310685445517347;0.136914228434526
Visual areas (L);0.869741701235769;0.708774479584655;1;0.918808980225202;;;;;0.919449968227461;0.72859749900714;0.90492749311118;0.679328867117321;0.903346748687317;0.193794244685094;0.929883878556707;0.812420624611113;0.831218517029518;0.702632369114322;0.903812598613014;0.607450235179068;0.918416261106116;0.365946881552994;0.663731397408971;0.242995050545235;0.655268705287468;0.0931769444669813
Visual areas (R);0.936097327040147;0.802781992255725;0.918808980225202;1;;;;;0.807753922580011;0.703286241601878;0.867597469339873;0.633899537373021;0.874251713064884;0.16618877366156;0.902587613669955;0.761506944115127;0.870179047488924;0.724857395296366;0.821890722759656;0.595156055505059;0.814329892202246;0.407551597619503;0.514854684400411;0.246791606417096;0.524252156464648;0.0474128781428983
Posterior parietal association areas (L);;;;;;;;;;;;;;;;;;;;;;;;;;
Posterior parietal association areas (R);;;;;;;;;;;;;;;;;;;;;;;;;;
Auditory areas (L);;;;;;;;;;;;;;;;;;;;;;;;;;
Auditory areas (R);;;;;;;;;;;;;;;;;;;;;;;;;;
Temporal association areas (L);0.768318089100437;0.567066495985878;0.919449968227461;0.807753922580011;;;;;1;0.689618520710786;0.87572245262228;0.638342683165864;0.870638765560502;0.188222622013929;0.891937619091984;0.809326167280607;0.755400828815855;0.64852896538313;0.872983713096866;0.578993603068648;0.924778378029431;0.30001461360244;0.698463197242964;0.187352821043146;0.648281865568318;0.149979700338189
Temporal association areas (R);0.752524188671382;0.609778475916999;0.72859749900714;0.703286241601878;;;;;0.689618520710786;1;0.681681775095016;0.473297394491132;0.78600961798905;0.201409692447998;0.795481974739728;0.573995096897027;0.679431519011141;0.559542344287887;0.565116412101365;0.457583724876149;0.652168497500361;0.320445385623895;0.363695151942815;0.0934269821178714;0.35905543290058;0.0930081712642781
Entorhinal area (L);0.803810286018044;0.653477933365375;0.90492749311118;0.867597469339873;;;;;0.87572245262228;0.681681775095016;1;0.722325421794676;0.820943986857626;0.164344026674244;0.891510656632188;0.761703577774762;0.834346190324395;0.67580953171633;0.879866384137939;0.580036540057628;0.898058552171305;0.421982241364196;0.671282436837156;0.17956474265871;0.620439574278967;0.143191893560576
Entorhinal area (R);0.558129958857876;0.428159768293578;0.679328867117321;0.633899537373021;;;;;0.638342683165864;0.473297394491132;0.722325421794676;1;0.563615205491409;0.180619654949792;0.649889595501071;0.657296178378495;0.593559769080124;0.495218686698884;0.733724311606508;0.378440392196488;0.694463522065169;0.18587541221409;0.584080714900152;0.156216201651237;0.514337810462032;0.0836143061948379
Olfactory areas (L);0.876558140268051;0.688167111355464;0.903346748687317;0.874251713064884;;;;;0.870638765560502;0.78600961798905;0.820943986857626;0.563615205491409;1;0.210075180832256;0.92089016254922;0.726321822194627;0.765641070790459;0.67448664937561;0.76161675522335;0.513775715447984;0.839299093509259;0.333715279038439;0.533514846041952;0.22610716027689;0.537334512186336;0.113274277585642
Olfactory areas (R);0.166587443526185;0.0652671963152366;0.193794244685094;0.16618877366156;;;;;0.188222622013929;0.201409692447998;0.164344026674244;0.180619654949792;0.210075180832256;1;0.237427255613745;0.249938657888201;0.203889817013478;0.174987784369067;0.187028246148296;0.0716672345016139;0.187206475210455;0.160389923479379;0.134051816260911;-0.0349706006387619;0.125389865666857;-0.0895299613727442
Dentate gyrus (L);0.92491214519877;0.630810950030072;0.929883878556707;0.902587613669955;;;;;0.891937619091984;0.795481974739728;0.891510656632188;0.649889595501071;0.92089016254922;0.237427255613745;1;0.806743951877401;0.907794860859777;0.777687636360665;0.822583925933296;0.591710286693505;0.890456168977863;0.418284680741146;0.585782800306422;0.204870418660342;0.591929157552273;0.0932408636247158
Dentate gyrus (R);0.697479599048709;0.538484017302984;0.812420624611113;0.761506944115127;;;;;0.809326167280607;0.573995096897027;0.761703577774762;0.657296178378495;0.726321822194627;0.249938657888201;0.806743951877401;1;0.74708614541718;0.665809899737979;0.835533999735195;0.506175656377028;0.829599293002936;0.222988077925687;0.704570687440354;0.125401341892118;0.616405385893358;0.119100187163441
Subiculum (L);0.88516505100984;0.619478920076271;0.831218517029518;0.870179047488924;;;;;0.755400828815855;0.679431519011141;0.834346190324395;0.593559769080124;0.765641070790459;0.203889817013478;0.907794860859777;0.74708614541718;1;0.802516938675226;0.796149507010295;0.597263960739695;0.768800799308317;0.49151517903742;0.523747366840831;0.162383072669054;0.501351838485086;0.0528348715634803
Subiculum (R);0.750262025707971;0.479004079531349;0.702632369114322;0.724857395296366;;;;;0.64852896538313;0.559542344287887;0.67580953171633;0.495218686698884;0.67448664937561;0.174987784369067;0.777687636360665;0.665809899737979;0.802516938675226;1;0.652023600238174;0.481949558504148;0.676168813542743;0.402700306371102;0.489017246080408;0.110249977506074;0.412328847587557;-0.0207301757447068
Dorsal hippocampus (L);0.712930241585719;0.612427079486739;0.903812598613014;0.821890722759656;;;;;0.872983713096866;0.565116412101365;0.879866384137939;0.733724311606508;0.76161675522335;0.187028246148296;0.822583925933296;0.835533999735195;0.796149507010295;0.652023600238174;1;0.547152133130209;0.863359328263702;0.325898770199051;0.797394952142909;0.171212458938199;0.675596244087178;0.128611898282316
Dorsal hippocampus (R);0.583677183228661;0.478830764192366;0.607450235179068;0.595156055505059;;;;;0.578993603068648;0.457583724876149;0.580036540057628;0.378440392196488;0.513775715447984;0.0716672345016139;0.591710286693505;0.506175656377028;0.597263960739695;0.481949558504148;0.547152133130209;1;0.559765100250634;0.372015471854148;0.425922547932791;0.196685349017262;0.39697008870532;0.102208014755365
Ventral hippocampus (L);0.768204590304221;0.579934935774719;0.918416261106116;0.814329892202246;;;;;0.924778378029431;0.652168497500361;0.898058552171305;0.694463522065169;0.839299093509259;0.187206475210455;0.890456168977863;0.829599293002936;0.768800799308317;0.676168813542743;0.863359328263702;0.559765100250634;1;0.319065965932189;0.667080535005694;0.186702578333522;0.669478842961043;0.185176757537395
Ventral hippocampus (R);0.44602479766225;0.287814437703408;0.365946881552994;0.407551597619503;;;;;0.30001461360244;0.320445385623895;0.421982241364196;0.18587541221409;0.333715279038439;0.160389923479379;0.418284680741146;0.222988077925687;0.49151517903742;0.402700306371102;0.325898770199051;0.372015471854148;0.319065965932189;1;0.195477854312603;0.0537717324436867;0.211609708225657;-0.00716699034387917
Substantia nigra, reticular part (L);0.403788265621059;0.282141966080877;0.663731397408971;0.514854684400411;;;;;0.698463197242964;0.363695151942815;0.671282436837156;0.584080714900152;0.533514846041952;0.134051816260911;0.585782800306422;0.704570687440354;0.523747366840831;0.489017246080408;0.797394952142909;0.425922547932791;0.667080535005694;0.195477854312603;1;0.15981026483693;0.59503434308921;0.070075430058497
