Matrix;Retrosplenial area (L);Retrosplenial area (R);Visual areas (L);Visual areas (R);Posterior parietal association areas (L);Posterior parietal association areas (R);Auditory areas (L);Auditory areas (R);Temporal association areas (L);Temporal association areas (R);Entorhinal area (L);Entorhinal area (R);Olfactory areas (L);Olfactory areas (R);Dentate gyrus (L);Dentate gyrus (R);Subiculum (L);Subiculum (R);Dorsal hippocampus (L);Dorsal hippocampus (R);Ventral hippocampus (L);Ventral hippocampus (R);Substantia nigra, reticular part (L);Substantia nigra, reticular part (R);Substantia nigra, compact part (L);Substantia nigra, compact part (R)
Retrosplenial area (L);1;0.93939764071226;0.951727558253904;0.892950080678072;0.901321976118739;0.301942892638052;0.904491995521437;0.879682170160004;0.517228913646269;0.631957140964923;0.535272865576715;0.362911618409875;0.891671502649996;0.83630198783585;0.946396314976118;0.939101383667935;0.909648228724498;0.875181839042584;0.926880175807855;0.927942282236168;0.919442191388506;0.881175549568941;0.934688848961922;0.880788456881669;0.866390347528568;0.535567917000151
Retrosplenial area (R);0.93939764071226;1;0.869313581319996;0.9130019581341;0.808482762436416;0.331041180749091;0.846551294515899;0.799655761806534;0.556924701373712;0.54184975389505;0.577631827901299;0.428739759973038;0.84282266478996;0.766113358269752;0.879687456509395;0.870621571831718;0.849240779042685;0.802565021797575;0.822203884139635;0.85025373652731;0.866161796956379;0.81876343508607;0.882764699776009;0.8203615119831;0.820420520174418;0.454241382367124
Visual areas (L);0.951727558253904;0.869313581319996;1;0.830551717689416;0.923342272071658;0.274002941628402;0.879345698178586;0.870238138278837;0.445779198753522;0.646182892156533;0.491108171673824;0.312992799254615;0.869328130900639;0.830146831987296;0.936337945737084;0.944008855643742;0.903260953537003;0.923579114314298;0.948154968203354;0.951814701477077;0.911216020830145;0.875438839731035;0.949558166592214;0.874612325882334;0.854910225256192;0.558842312225147
Visual areas (R);0.892950080678072;0.9130019581341;0.830551717689416;1;0.813481679212197;0.293510426775811;0.854332114794754;0.790656158130934;0.512164881530394;0.570694364393088;0.476601378958892;0.283489381804197;0.764003475303552;0.73773659116493;0.832971014205401;0.826303135488444;0.820459486414491;0.770538665212705;0.773746734832369;0.818810384034256;0.813938488206435;0.795506130775426;0.823013684509009;0.763263413489502;0.793791054061219;0.418192196585929
Posterior parietal association areas (L);0.901321976118739;0.808482762436416;0.923342272071658;0.813481679212197;1;0.276513884691493;0.838670056298368;0.853900766460688;0.441407092189343;0.659342543902884;0.492234308719519;0.310344991608935;0.825730105244466;0.792647069456091;0.894365406793892;0.895344948133853;0.871711934526204;0.876356898614707;0.910506591470763;0.908138987874849;0.877158318575401;0.861234716546005;0.895208354315949;0.813204927988146;0.849692075015579;0.588316100114391
Posterior parietal association areas (R);0.301942892638052;0.331041180749091;0.274002941628402;0.293510426775811;0.276513884691493;1;0.336843783029305;0.266514116212628;0.16082536866385;0.132324462083579;0.414637550455312;0.25262712451444;0.347373629575752;0.273965197321622;0.328204231436869;0.305170082794203;0.233538102642916;0.164017259514307;0.288622236130869;0.255185075828076;0.282771176425028;0.252640681281031;0.321647752118579;0.261149097351822;0.269627219531662;0.149321005342886
Auditory areas (L);0.904491995521437;0.846551294515899;0.879345698178586;0.854332114794754;0.838670056298368;0.336843783029305;1;0.841743122415697;0.504976698766771;0.624647011430614;0.496625766970666;0.334262268377384;0.867472201707488;0.852453887893952;0.910610782461912;0.899701552502968;0.860503896674468;0.808227093041799;0.89389663851503;0.878908930954611;0.875099068553491;0.824576656006785;0.869555796367107;0.837019880375163;0.806517650702656;0.468561896363769
Auditory areas (R);0.879682170160004;0.799655761806534;0.870238138278837;0.790656158130934;0.853900766460688;0.266514116212628;0.841743122415697;0.999999999999999;0.475357613698702;0.64811812750026;0.487909719214845;0.280054556222359;0.841276741653862;0.806995828285657;0.882429837276127;0.876464832138724;0.874629160403974;0.824319000242384;0.881772844523397;0.886263004734045;0.897880447350934;0.840993283688843;0.879882515031518;0.832089528949077;0.822335442443733;0.614659225322513
Temporal association areas (L);0.517228913646269;0.556924701373712;0.445779198753522;0.512164881530394;0.441407092189343;0.16082536866385;0.504976698766771;0.475357613698702;1;0.3422385036091;0.476426225910624;0.558576562411354;0.539975387482476;0.510796398686661;0.504933459614801;0.483303685910896;0.558175720618715;0.418204740689937;0.457266519151882;0.46660455110743;0.471776957001118;0.511304015812487;0.473844140717921;0.42826493241809;0.41663659993382;0.251943081777197
Temporal association areas (R);0.631957140964923;0.54184975389505;0.646182892156533;0.570694364393088;0.659342543902884;0.132324462083579;0.624647011430614;0.64811812750026;0.3422385036091;1;0.316498450828371;0.255937340462543;0.571519325273933;0.587125147503058;0.644295051749306;0.641139165016255;0.674650629124539;0.703888176796683;0.669704887997248;0.640912097863071;0.680211180756652;0.65286954681989;0.633030530697218;0.627259733213636;0.638325558142218;0.377483195932001
Entorhinal area (L);0.535272865576715;0.577631827901299;0.491108171673824;0.476601378958892;0.492234308719519;0.414637550455312;0.496625766970666;0.487909719214845;0.476426225910624;0.316498450828371;1;0.624861382749756;0.633507458743177;0.519140367926733;0.591636017164101;0.544389009260222;0.505194290152786;0.453148297244993;0.518503744507565;0.519299604626577;0.537597706307737;0.459773228883948;0.580469727993058;0.589915809842418;0.433497833249997;0.457301408217407
Entorhinal area (R);0.362911618409875;0.428739759973038;0.312992799254615;0.283489381804197;0.310344991608935;0.25262712451444;0.334262268377384;0.280054556222359;0.558576562411354;0.255937340462543;0.624861382749756;1;0.463374193787362;0.387377551582863;0.37992741697813;0.33395647706393;0.361982232775348;0.302687758134077;0.359378768202334;0.347751061216374;0.367207767296064;0.370766791017656;0.351052845032156;0.37895026284287;0.283622084992598;0.23974009927659
Olfactory areas (L);0.891671502649996;0.84282266478996;0.869328130900639;0.764003475303552;0.825730105244466;0.347373629575752;0.867472201707488;0.841276741653862;0.539975387482476;0.571519325273933;0.633507458743177;0.463374193787362;1;0.896306931842003;0.926883607913334;0.921800933625361;0.878318274385887;0.818447183016123;0.912612650218339;0.924129861906341;0.901732834147836;0.834373395322717;0.876351641332284;0.878398911413682;0.797383874552224;0.571438361821628
Olfactory areas (R);0.83630198783585;0.766113358269752;0.830146831987296;0.73773659116493;0.792647069456091;0.273965197321622;0.852453887893952;0.806995828285657;0.510796398686661;0.587125147503058;0.519140367926733;0.387377551582863;0.896306931842003;1;0.880601073511358;0.864816961940825;0.822876164820592;0.772931301000662;0.856433547763666;0.88421085800108;0.883785359142216;0.790571733282176;0.844276991249512;0.839499163407002;0.761963009493143;0.544314172290575
Dentate gyrus (L);0.946396314976118;0.879687456509395;0.936337945737084;0.832971014205401;0.894365406793892;0.328204231436869;0.910610782461912;0.882429837276127;0.504933459614801;0.644295051749306;0.591636017164101;0.37992741697813;0.926883607913334;0.880601073511358;1;0.954836831949627;0.91551925833818;0.89415698586363;0.954229961159923;0.946921114318998;0.931494404327857;0.881054664998862;0.936653538474575;0.915262166090688;0.862593051914442;0.591176403560918
Dentate gyrus (R);0.939101383667935;0.870621571831718;0.944008855643742;0.826303135488444;0.895344948133853;0.305170082794203;0.899701552502968;0.876464832138724;0.483303685910896;0.641139165016255;0.544389009260222;0.33395647706393;0.921800933625361;0.864816961940825;0.954836831949627;1;0.89579557950762;0.914942841929082;0.949476536522529;0.956645813202979;0.947988506035433;0.90664849358427;0.943127252773986;0.903573405220957;0.85037177394095;0.544534183893962
Subiculum (L);0.909648228724498;0.849240779042685;0.903260953537003;0.820459486414491;0.871711934526204;0.233538102642916;0.860503896674468;0.874629160403974;0.558175720618715;0.674650629124539;0.505194290152786;0.361982232775348;0.878318274385887;0.822876164820592;0.91551925833818;0.89579557950762;1;0.870649073654498;0.896198031435142;0.908732662803488;0.897055953462009;0.857302015336384;0.887317279246174;0.844519156299389;0.823902634373406;0.561831380993226
