Matrix;Retrosplenial area (L);Retrosplenial area (R);Visual areas (L);Visual areas (R);Posterior parietal association areas (L);Posterior parietal association areas (R);Auditory areas (L);Auditory areas (R);Temporal association areas (L);Temporal association areas (R);Entorhinal area (L);Entorhinal area (R);Olfactory areas (L);Olfactory areas (R);Dentate gyrus (L);Dentate gyrus (R);Subiculum (L);Subiculum (R);Dorsal hippocampus (L);Dorsal hippocampus (R);Ventral hippocampus (L);Ventral hippocampus (R);Substantia nigra, reticular part (L);Substantia nigra, reticular part (R);Substantia nigra, compact part (L);Substantia nigra, compact part (R)
Retrosplenial area (L);1;0.723342793597077;0.804671123209924;0.762135238498194;;;0.683875868783644;0.570091499253917;0.402351910068538;0.240487741642341;0.468825177600212;0.322510970221758;0.0609376665130629;0.324721886389961;0.706922281087436;0.681848649839253;0.699666911832343;0.64057893480503;0.772190300108818;0.60497082723014;0.682591388511018;0.172144871902009;0.358518935014679;0.0606001295734995;0.374039383182752;0.310629771636503
Retrosplenial area (R);0.723342793597077;1;0.740278893468146;0.74033792021489;;;0.677479851270075;0.516975948731596;0.395605717061085;0.265504530831568;0.337077757179463;0.387374106493105;-0.00155142644603119;0.341691525853204;0.64745874657251;0.565262647928913;0.620004090834924;0.492352279682722;0.645754518565402;0.464171396415119;0.569951724641143;0.341193516914698;0.268310739242834;0.0356709867390334;0.344240900164005;0.101572720106325
Visual areas (L);0.804671123209924;0.740278893468146;1;0.822382109067875;;;0.722288706983171;0.590712719167734;0.471581984954719;0.0963598611428006;0.400432424470886;0.22709157504033;0.0162164545851296;0.381031366792148;0.690709469895812;0.714105867708974;0.67654311888861;0.401834737066029;0.70988472742559;0.588594384885683;0.599229870150909;0.21950667911631;0.231094186843654;0.0791460915260706;0.45516618954632;0.16234812175161
Visual areas (R);0.762135238498194;0.74033792021489;0.822382109067875;1;;;0.679030642275025;0.514450069959165;0.39560297669159;0.179545044275741;0.412674379102732;0.346900306998214;-0.0126192887288795;0.281860498334144;0.678445060439542;0.582655678822524;0.587240115412272;0.446446639035124;0.671987585461562;0.480737932525518;0.569730835192331;0.280748235340577;0.2537297400511;0.134092855380806;0.415055904169138;0.194929332849895
Posterior parietal association areas (L);;;;;;;;;;;;;;;;;;;;;;;;;;
Posterior parietal association areas (R);;;;;;;;;;;;;;;;;;;;;;;;;;
Auditory areas (L);0.683875868783644;0.677479851270075;0.722288706983171;0.679030642275025;;;1;0.531551038670238;0.410205656325299;0.118625003834695;0.363635051908743;0.305306892131239;-0.0889002670443187;0.239607463631484;0.557121533184739;0.577822954190923;0.562514777496403;0.467127312867063;0.637896015909716;0.444358393641726;0.49166408533482;0.257768094151274;0.195064983442443;-0.0781557692206902;0.365159004311484;0.199148657474592
Auditory areas (R);0.570091499253917;0.516975948731596;0.590712719167734;0.514450069959165;;;0.531551038670238;1;0.275046608616618;0.00730731992783187;0.251051819926115;0.167538711757346;0.0213049223533163;0.320999541636282;0.474598457508305;0.528168434330877;0.548422575099706;0.384595170862645;0.601311619847711;0.458070358889387;0.553176442010591;0.102442881465624;0.0355419668135367;-0.165926886864621;0.220023236523957;0.0647436142940578
Temporal association areas (L);0.402351910068538;0.395605717061085;0.471581984954719;0.39560297669159;;;0.410205656325299;0.275046608616618;1;0.212203496818774;0.140533002121756;0.282211934218531;-0.00413364856527354;0.190523336303754;0.392715004079829;0.437023034046538;0.388335110459742;0.256561930827492;0.401555333450795;0.301675187684807;0.389222372730296;0.199458129581295;0.0510524523875684;-0.0131074050217767;0.0960506678049241;0.0582111337558487
Temporal association areas (R);0.240487741642341;0.265504530831568;0.0963598611428006;0.179545044275741;;;0.118625003834695;0.00730731992783187;0.212203496818774;1;0.132313601582071;0.231903261888983;0.102191381705702;0.0627691527174472;0.195330638279336;0.124576673420862;0.104700242022575;0.175576908693322;0.0965871972190545;0.0942522826310783;0.153390013856909;0.0315720694448348;0.211398918978457;0.127403561361354;0.0649502001715369;-0.00799796407097744
