Matrix;Retrosplenial area (L);Retrosplenial area (R);Visual areas (L);Visual areas (R);Posterior parietal association areas (L);Posterior parietal association areas (R);Auditory areas (L);Auditory areas (R);Temporal association areas (L);Temporal association areas (R);Entorhinal area (L);Entorhinal area (R);Olfactory areas (L);Olfactory areas (R);Dentate gyrus (L);Dentate gyrus (R);Subiculum (L);Subiculum (R);Dorsal hippocampus (L);Dorsal hippocampus (R);Ventral hippocampus (L);Ventral hippocampus (R);Substantia nigra, reticular part (L);Substantia nigra, reticular part (R);Substantia nigra, compact part (L);Substantia nigra, compact part (R)
Retrosplenial area (L);1;0.909673641282262;0.951984070455095;0.898165104586752;;;;;0.508747095725599;0.95631591729582;0.369373620225675;0.813303930964994;0.475080563128013;0.807684857773521;0.861884955709306;0.941097010940075;0.845364304986484;0.925123967314373;0.704657847622959;0.937003412828258;0.761439582313433;0.922421367728958;0.861768846864156;0.885359111239455;0.754627871225446;0.767858341014417
Retrosplenial area (R);0.909673641282262;1;0.907126398887269;0.938756254059042;;;;;0.531301891830179;0.884922735002611;0.385549249464638;0.746715331543413;0.405019715759612;0.733454559612304;0.784993185248386;0.887798874736777;0.837108725942716;0.916494643218893;0.658378769194272;0.930101391577409;0.762062029248932;0.909754351768349;0.825277571249189;0.852706385851338;0.713623193709055;0.691367660371838
Visual areas (L);0.951984070455095;0.907126398887269;1;0.890426320975845;;;;;0.511717409335001;0.933951932497463;0.352957141508597;0.799491876683491;0.419287000420692;0.816024194159054;0.840535039270562;0.919450238438551;0.843511722833541;0.912398556779629;0.651238697470051;0.922039633626239;0.773890385885988;0.911982805711892;0.849014796167816;0.865832480093863;0.736316106662904;0.740910060614019
Visual areas (R);0.898165104586752;0.938756254059042;0.890426320975845;1;;;;;0.518104769022173;0.873673584262107;0.37010896981732;0.72098049069378;0.358210812776148;0.724070243173991;0.754757506984116;0.859520316052221;0.798790689603735;0.899127619167004;0.630858270193457;0.903337961309869;0.719029463904011;0.889330918292902;0.791822704582803;0.828832976986388;0.704896767008634;0.660808608163316
Posterior parietal association areas (L);;;;;;;;;;;;;;;;;;;;;;;;;;
Posterior parietal association areas (R);;;;;;;;;;;;;;;;;;;;;;;;;;
Auditory areas (L);;;;;;;;;;;;;;;;;;;;;;;;;;
Auditory areas (R);;;;;;;;;;;;;;;;;;;;;;;;;;
Temporal association areas (L);0.508747095725599;0.531301891830179;0.511717409335001;0.518104769022173;;;;;1;0.485074136355574;0.220607718391238;0.333945507829052;0.264933009082373;0.477851986781426;0.409968411193596;0.495219217703532;0.512221813756152;0.495236569383455;0.29968041463832;0.525303427092692;0.391641022204027;0.476403228874785;0.43537198094896;0.427162840064121;0.334330315174158;0.255643335597705
Temporal association areas (R);0.95631591729582;0.884922735002611;0.933951932497463;0.873673584262107;;;;;0.485074136355574;1;0.382576462035486;0.77823790007129;0.443035302784551;0.791114270205226;0.83403472019248;0.919239594774788;0.816057141866602;0.89856011886888;0.667079080042311;0.911080009611737;0.752793070096364;0.898079592703413;0.850536650781757;0.845223120052244;0.759592951000135;0.749275574863138
