Matrix;Retrosplenial area (L);Retrosplenial area (R);Visual areas (L);Visual areas (R);Posterior parietal association areas (L);Posterior parietal association areas (R);Auditory areas (L);Auditory areas (R);Temporal association areas (L);Temporal association areas (R);Entorhinal area (L);Entorhinal area (R);Olfactory areas (L);Olfactory areas (R);Dentate gyrus (L);Dentate gyrus (R);Subiculum (L);Subiculum (R);Dorsal hippocampus (L);Dorsal hippocampus (R);Ventral hippocampus (L);Ventral hippocampus (R);Substantia nigra, reticular part (L);Substantia nigra, reticular part (R);Substantia nigra, compact part (L);Substantia nigra, compact part (R)
Retrosplenial area (L);1;0.735365121932078;0.534968827665838;0.105210104801918;0.391437394373312;0.117670213582076;0.451724605703465;0.625821501605909;0.447881589363261;0.28663590046858;0.404084262686695;0.542473481770208;0.610553868382782;0.543391847292686;0.642689621408053;0.641006740233649;0.443165941298075;0.6485706825862;0.651554486572145;0.637457788494999;0.560053929672965;0.571011974155919;0.592993435621681;0.525813558439178;0.487257755904363;0.626774870435363
Retrosplenial area (R);0.735365121932078;1;0.480909073041373;0.292062733570663;0.285737354757031;0.277451792975476;0.160205030589722;0.465526007453675;0.603233122438662;0.274141271930733;0.582034606894745;0.444527970741907;0.587731336711731;0.468984048763351;0.603698847703932;0.503448516932719;0.512855884174485;0.539054548255462;0.57936758879561;0.456212191459623;0.540786447975023;0.473833957611347;0.539512689320733;0.420299293016052;0.41393243377682;0.496165103494991
Visual areas (L);0.534968827665838;0.480909073041373;1;0.265522488112373;0.700404925173218;0.194815479160511;0.389011213095092;0.775485748689706;0.130827527185903;0.267348852873195;0.0972968727155396;0.506376228549788;0.630679591288488;0.765551031364136;0.765540466240253;0.794991991298377;0.636855225140589;0.73289461661234;0.812833060913892;0.801857665250525;0.730130128881758;0.800155220643994;0.675021205099086;0.748752267283585;0.563334714322513;0.678285956249765
Visual areas (R);0.105210104801918;0.292062733570663;0.265522488112373;1;0.228152118159501;0.905910811609352;0.167608791569302;0.242675120767765;0.160762920163358;0.170296499207897;0.215274548239957;0.14789111433429;0.364802412739186;0.294986735485799;0.344263369403885;0.276434086195339;0.299504811184781;0.278101963178726;0.397735155610064;0.269357472693757;0.419630289002326;0.360973283109081;0.367446972709151;0.398508937735426;0.207323906663915;0.20769463690398
Posterior parietal association areas (L);0.391437394373312;0.285737354757031;0.700404925173218;0.228152118159501;1;0.218647448916808;0.415954443963961;0.544201103900043;0.113454055888565;0.217283822188363;0.134337379594785;0.383450522493526;0.522109590486974;0.538679424087026;0.489309790943574;0.575583766627663;0.424451228393568;0.492661335150395;0.587664725758609;0.554215380285939;0.536623242395975;0.537565502367545;0.467461765549399;0.45154217167333;0.433682985244602;0.489454366617708
Posterior parietal association areas (R);0.117670213582076;0.277451792975476;0.194815479160511;0.905910811609352;0.218647448916808;1;0.240087643606519;0.204535343922625;0.172918820070738;0.113644774205411;0.227634340763575;0.129597456477821;0.295255252407928;0.242804168042536;0.27059435116596;0.20664259550015;0.197867737113197;0.218230420200328;0.328517444676036;0.208048976484989;0.369747707749064;0.298786716382049;0.311931250351718;0.33885297084072;0.206237870832243;0.209556709753055
Auditory areas (L);0.451724605703465;0.160205030589722;0.389011213095092;0.167608791569302;0.415954443963961;0.240087643606519;1;0.564005884534664;0.235002131352712;0.230935287887875;0.178837514376978;0.385214467541772;0.538562362357277;0.468206947383916;0.35707504587837;0.483482669353813;0.0119633944472975;0.4292277141456;0.476819842524914;0.534343509098646;0.460405173330453;0.492558105455338;0.459365320973508;0.472311935662219;0.394572780459557;0.464565007828402
Auditory areas (R);0.625821501605909;0.465526007453675;0.775485748689706;0.242675120767765;0.544201103900043;0.204535343922625;0.564005884534664;1;0.114936167356462;0.311715393207001;0.036152700726818;0.614304567061823;0.631533873000942;0.775457903388266;0.758459239009214;0.820830856336882;0.532711908643139;0.737351513489034;0.78755388465024;0.867458335002893;0.719668059528584;0.822152720751554;0.698459286227026;0.742010627562741;0.5439123370394;0.71259252000096
Temporal association areas (L);0.447881589363261;0.603233122438662;0.130827527185903;0.160762920163358;0.113454055888565;0.172918820070738;0.235002131352712;0.114936167356462;1;0.158133314754582;0.943157615929195;0.264745605996545;0.496435539970508;0.15296930328186;0.222364548869685;0.173610556594248;0.156259776476299;0.191251735486485;0.287652065837;0.0718949484034804;0.327133053237882;0.125754916274615;0.323417358567666;0.115263519592796;0.315981189840332;0.293316280617791
Temporal association areas (R);0.28663590046858;0.274141271930733;0.267348852873195;0.170296499207897;0.217283822188363;0.113644774205411;0.230935287887875;0.311715393207001;0.158133314754582;1;0.189869783428001;0.298385373473787;0.366515473614152;0.437345336884991;0.386850168520416;0.353098791487783;0.328537510134198;0.389699884514726;0.388692738727105;0.371928238273509;0.428870613493631;0.297445066419489;0.324521584896954;0.360670435537954;0.286088467646863;0.254772371149633
